,0,1,2,3,4,5,WT,negative_control,test
0,chr1,1847204,1847219,GATA3.Zf..DR4_103,.,-,3.1899,3.3955917,3.1256633
1,chr1,6058643,6058658,GATA3.Zf..DR4_103,.,-,3.5916638,3.2974346,3.6069102
2,chr1,6158025,6158040,GATA3.Zf..DR4_103,.,-,3.5739996,3.3742146,3.6000671
3,chr1,7549599,7549614,GATA3.Zf..DR4_103,.,-,3.1533606,2.657589,3.2083397
4,chr1,7975619,7975634,GATA3.Zf..DR4_103,.,+,3.17051,3.3570151,3.0920422
5,chr1,8016812,8016827,GATA3.Zf..DR4_103,.,-,3.3777866,3.141358,3.400729
6,chr1,8490447,8490462,GATA3.Zf..DR4_103,.,+,3.157126,3.5258746,3.1826417
7,chr1,8662032,8662047,GATA3.Zf..DR4_103,.,+,2.9920702,3.0488248,2.975141
8,chr1,9238647,9238662,GATA3.Zf..DR4_103,.,+,3.0428748,3.2189064,3.0663424
9,chr1,9290485,9290500,GATA3.Zf..DR4_103,.,+,3.417691,3.2904053,3.3927677
10,chr1,10211784,10211799,GATA3.Zf..DR4_103,.,-,3.702918,4.227571,3.7234569
11,chr1,10780167,10780182,GATA3.Zf..DR4_103,.,-,3.218962,3.4133472,3.2239423
12,chr1,12476251,12476266,GATA3.Zf..DR4_103,.,+,3.22179,3.2032828,3.2607243
13,chr1,26080112,26080127,GATA3.Zf..DR4_103,.,+,3.4824886,3.0845103,3.4483635
14,chr1,27115782,27115797,GATA3.Zf..DR4_103,.,-,3.0812333,3.1021962,3.0425456
15,chr1,28073854,28073869,GATA3.Zf..DR4_103,.,+,2.6969829,3.0382888,2.7023864
16,chr1,28668360,28668375,GATA3.Zf..DR4_103,.,+,3.9155455,4.603381,3.9348476
17,chr1,28680346,28680361,GATA3.Zf..DR4_103,.,+,3.1710432,3.402877,3.0103068
18,chr1,31574386,31574401,GATA3.Zf..DR4_103,.,+,3.5524495,3.0786355,3.5949683
19,chr1,31956157,31956172,GATA3.Zf..DR4_103,.,-,3.569079,3.4437854,3.5610511
20,chr1,32072720,32072735,GATA3.Zf..DR4_103,.,+,4.4610972,4.2017984,4.4751353
21,chr1,32454918,32454933,GATA3.Zf..DR4_103,.,-,2.978413,3.3341568,2.7735083
22,chr1,32520480,32520495,GATA3.Zf..DR4_103,.,-,3.479268,3.5879776,3.5027142
23,chr1,33918720,33918735,GATA3.Zf..DR4_103,.,+,3.433206,3.078413,3.4246151
24,chr1,39361091,39361106,GATA3.Zf..DR4_103,.,-,3.3390524,3.106196,3.1967354
25,chr1,39544661,39544676,GATA3.Zf..DR4_103,.,+,2.8156385,3.2515187,2.8242724
26,chr1,40140384,40140399,GATA3.Zf..DR4_103,.,-,2.9683645,3.2342618,3.020658
27,chr1,40531664,40531679,GATA3.Zf..DR4_103,.,-,4.4716616,3.7359595,4.5073705
28,chr1,41418885,41418900,GATA3.Zf..DR4_103,.,+,3.4112682,3.0015478,3.3877416
29,chr1,41484666,41484681,GATA3.Zf..DR4_103,.,+,3.2864122,3.1292174,3.236793
30,chr1,45669921,45669936,GATA3.Zf..DR4_103,.,-,3.0673332,3.1485631,3.0071175
31,chr1,45670233,45670248,GATA3.Zf..DR4_103,.,-,3.085356,3.258414,3.0753112
32,chr1,46246893,46246908,GATA3.Zf..DR4_103,.,+,4.2286177,4.307924,4.2376385
33,chr1,46719790,46719805,GATA3.Zf..DR4_103,.,-,4.3114047,4.3442473,4.2452226
34,chr1,47569930,47569945,GATA3.Zf..DR4_103,.,-,3.1090322,3.3214755,3.0915263
35,chr1,48236981,48236996,GATA3.Zf..DR4_103,.,-,2.9265819,3.0678163,2.9249897
36,chr1,48302810,48302825,GATA3.Zf..DR4_103,.,-,3.3277776,3.0444388,3.3246827
37,chr1,49051907,49051922,GATA3.Zf..DR4_103,.,-,3.492847,3.1338592,3.4396675
38,chr1,51841234,51841249,GATA3.Zf..DR4_103,.,-,2.869204,3.1209989,2.7471097
39,chr1,51990913,51990928,GATA3.Zf..DR4_103,.,+,4.180996,3.753922,4.2311177
