,idxATAC,chr,start,end,idxRNA,target,distance,idxTF,tf,all,pval.all,pval.A9690,pval.ARV110,pval.DMSO,pval.Enza,stats.all,stats.A9690,stats.ARV110,stats.DMSO,stats.Enza,qval.all,qval.A9690,qval.ARV110,qval.DMSO,qval.Enza,weight.all,weight.A9690,weight.ARV110,weight.DMSO,weight.Enza
1,1716,chr1,25998029,25998529,595,EXTL1,21244,1,AR,0.568880494710863,0.00461196336502011,1,1,1,0.0062151913968371,8.02564362883632,0,0,0,7.48682880237752,1,1,1,1,1,0.0243551259294371,0,0,0,0.0408487292871395
2,1716,chr1,25998029,25998529,594,PAFAH2,0,1,AR,0.500756159131452,0.84036477647748,0.450477608443523,0.143251948768951,0.209661249612515,0.0266562561109191,0.0405727994461661,0.56944986440744,2.14267459602849,1.57376386865537,4.91293846205959,1,1,1,1,1,0.0128187297354335,-0.0187778645859349,-0.0413977512355016,0.00300274270579244,0.0595147152798993
3,1738,chr1,26336287,26336787,606,CEP85,101888,1,AR,0.568332715821231,0.117905900092973,0.309537937825895,0.101040434165593,0.418033646229865,0.0323880287346968,2.44491994879847,1.03264629793365,2.68904376111602,0.655836580717793,4.57783937639139,1,1,1,1,1,0.0322583552368598,-0.0250394348995889,0.0552576185637626,-0.0248985507424707,0.084508805904979
4,2263,chr1,33349214,33349714,769,AL513327.2,0,1,AR,0.577727406946442,0.134534395925097,0.851810139612293,0.0320485422833949,0.772898016943553,1,2.23938595965023,0.0348977218688092,4.59589839468043,0.0832820251899303,0,1,1,1,1,1,0.016465643816047,-0.00454816971542391,0.0818481860726734,-0.00781082968304063,-0.00602409808021633
5,2264,chr1,33349761,33350261,769,AL513327.2,0,1,AR,0.522342100242455,0.645196539213491,0.00418100978028254,0.577248004004455,0.658411589845825,1,0.212009985084198,8.20348096850477,0.310704815723847,0.195458830853065,0,1,1,1,1,1,0.00330432240138448,0.0721683063466682,-0.0222003539721552,-0.0127723478122951,-0.0107693012549276
6,2387,chr1,36239334,36239834,814,STK40,119504,1,AR,0.501755537545624,0.0152520436162517,0.727639699677749,0.696417171272497,0.122674088957171,0.158954565188305,5.88711775054591,0.121289879985285,0.15222595109856,2.38284330199486,1.98414361600109,1,1,1,1,1,0.046758980320013,-0.00870862556013442,0.0519704382557679,0.0343409664766435,0.0739571931002328
7,2403,chr1,36328499,36328999,814,STK40,30339,1,AR,0.754155904240405,0.0121572576087133,0.0293282752858056,0.428446122241153,0.266015391075513,0.0277337149140807,6.28778957152752,4.74824005461649,0.627031913348077,1.23717916393275,4.84454457773437,1,1,1,1,1,0.03521258230805,0.0496358099304815,-0.0319255359293837,0.043004029062867,0.0439266213126049
8,2462,chr1,37534369,37534869,826,ZC3H12A,59590,1,AR,0.519343171150246,7.45275331245934e-06,0.737726056447252,0.0371575476139081,0.101613711079471,0.0864736915402688,20.0733617086944,0.112135339546782,4.34317604102439,2.68003161348132,2.93882358614684,0.00364439636979262,1,1,1,1,0.0830295333398866,-0.00808763075763948,0.112087251598267,0.0552729538636915,0.0674521037369416
9,2462,chr1,37534369,37534869,827,MEAF6,19901,1,AR,0.535981187164529,0.0059497447172297,0.725070040099058,0.068953308084313,0.281426491784958,0.774328578726773,7.56546059646113,0.123686532073212,3.30776271213845,1.16018830150525,0.0822069683438965,1,1,1,1,1,0.0519381551970332,0.010173032653276,0.072844119394479,0.0490319921680723,0.0217012666829198
10,2577,chr1,39544368,39544868,867,PABPC4-AS1,18182,1,AR,0.647989265908084,0.000417086680084938,0.562885748033297,0.0898978195965757,0.11572472759848,0.275718759999533,12.4540490046291,0.334732279317389,2.87620216555471,2.47424871351077,1.18807220762763,0.190608612798817,1,1,1,1,0.0619252314514592,-0.0148628068503443,-0.0591310368286175,0.0465508909983706,0.0447232055223563
