,0,1,2,3,4,5,WT,negative_control,test
0,chr1,858937,858947,Nkx2.1.Homeobox_182,.,+,2.5501597,2.4786909,2.5013788
1,chr1,859002,859012,Nkx2.1.Homeobox_182,.,-,2.496704,2.4766068,2.2518375
2,chr1,1612099,1612109,Nkx2.1.Homeobox_182,.,-,2.189644,2.643394,2.164773
3,chr1,1612262,1612272,Nkx2.1.Homeobox_182,.,-,2.1595652,2.6103187,2.0610027
4,chr1,1693231,1693241,Nkx2.1.Homeobox_182,.,+,4.4542856,4.0198507,4.4062204
5,chr1,1692939,1692949,Nkx2.1.Homeobox_182,.,-,4.4907217,4.050607,4.423132
6,chr1,2258600,2258610,Nkx2.1.Homeobox_182,.,-,2.3960032,2.7255125,2.3866372
7,chr1,5651947,5651957,Nkx2.1.Homeobox_182,.,-,2.60631,2.4922407,2.4702759
8,chr1,5986177,5986187,Nkx2.1.Homeobox_182,.,+,2.300013,2.3119426,2.1797643
9,chr1,6584283,6584293,Nkx2.1.Homeobox_182,.,-,2.1645436,2.7422853,2.1556563
10,chr1,6926026,6926036,Nkx2.1.Homeobox_182,.,+,2.5897286,2.6178346,2.5097687
11,chr1,7976229,7976239,Nkx2.1.Homeobox_182,.,-,2.5863779,2.569347,2.4827826
12,chr1,8312171,8312181,Nkx2.1.Homeobox_182,.,-,2.2996163,2.3335872,2.2128367
13,chr1,8620205,8620215,Nkx2.1.Homeobox_182,.,+,2.8143268,2.5464003,2.5929244
14,chr1,8661932,8661942,Nkx2.1.Homeobox_182,.,-,2.7770662,2.3537908,2.6979356
15,chr1,8879445,8879455,Nkx2.1.Homeobox_182,.,-,3.3526056,3.3953636,3.3119519
16,chr1,9303309,9303319,Nkx2.1.Homeobox_182,.,+,2.6693583,2.1986187,2.563776
17,chr1,10438744,10438754,Nkx2.1.Homeobox_182,.,-,2.5094233,2.6092124,2.463798
18,chr1,11929768,11929778,Nkx2.1.Homeobox_182,.,-,1.9212366,2.5115178,1.8733629
19,chr1,12125137,12125147,Nkx2.1.Homeobox_182,.,+,3.1871738,2.7515152,2.965109
20,chr1,12282885,12282895,Nkx2.1.Homeobox_182,.,+,2.4244506,2.4767575,2.301406
21,chr1,12454851,12454861,Nkx2.1.Homeobox_182,.,+,2.4405205,2.4605694,2.2409754
22,chr1,12706130,12706140,Nkx2.1.Homeobox_182,.,+,2.751686,2.385765,2.5900605
23,chr1,13601310,13601320,Nkx2.1.Homeobox_182,.,+,2.215868,2.5587316,2.0816054
24,chr1,13771330,13771340,Nkx2.1.Homeobox_182,.,-,2.4598947,2.459019,2.2238712
25,chr1,14081694,14081704,Nkx2.1.Homeobox_182,.,+,2.6845763,2.3266,2.5410552
26,chr1,14096665,14096675,Nkx2.1.Homeobox_182,.,+,2.6151114,2.4610558,2.342294
27,chr1,14313509,14313519,Nkx2.1.Homeobox_182,.,+,2.656808,2.4228926,2.434052
28,chr1,15833511,15833521,Nkx2.1.Homeobox_182,.,+,2.4679499,2.7312174,2.448213
29,chr1,15976044,15976054,Nkx2.1.Homeobox_182,.,+,3.6003518,3.04916,3.5777268
30,chr1,16378160,16378170,Nkx2.1.Homeobox_182,.,+,2.569865,2.5412803,2.4482064
31,chr1,19203659,19203669,Nkx2.1.Homeobox_182,.,+,2.5026603,2.388858,2.3115933
32,chr1,19203879,19203889,Nkx2.1.Homeobox_182,.,+,2.5217862,2.4068217,2.4664464
33,chr1,23122228,23122238,Nkx2.1.Homeobox_182,.,+,2.8864303,2.4922252,2.7064767
34,chr1,23340283,23340293,Nkx2.1.Homeobox_182,.,+,2.7387908,2.4291348,2.5309565
35,chr1,24780104,24780114,Nkx2.1.Homeobox_182,.,+,2.9497445,2.3123207,2.8230267
36,chr1,25233391,25233401,Nkx2.1.Homeobox_182,.,-,2.8782082,2.7178206,2.8070202
37,chr1,25486895,25486905,Nkx2.1.Homeobox_182,.,+,2.537909,2.4860172,2.2346756
38,chr1,25822093,25822103,Nkx2.1.Homeobox_182,.,+,2.8308558,2.6953344,2.7104964
39,chr1,25823305,25823315,Nkx2.1.Homeobox_182,.,+,2.5420642,2.4764538,2.5064178
