seqnames,start,end,width,strand,score,regulon_tf,bpnet_0.25_score
chr1,858938,858947,10,+,7.95238064139338,NKX2-1,0.0049502994
chr1,859003,859012,10,-,7.74637654154324,NKX2-1,0.09246294
chr1,1001843,1001852,10,+,8.70615917185368,NKX2-1,0.0093755545
chr1,1053822,1053831,10,-,7.81949520489078,NKX2-1,0.003180008
chr1,1241215,1241224,10,-,8.64677337520754,NKX2-1,0.0029194034
chr1,1282161,1282170,10,+,8.54164705505991,NKX2-1,0.008959218
chr1,1374412,1374421,10,+,7.95238064139338,NKX2-1,-0.00014639254
chr1,1408047,1408056,10,+,7.74936591572221,NKX2-1,0.0022091428
chr1,1577297,1577306,10,-,8.51388793870494,NKX2-1,0.032536842
chr1,1612100,1612109,10,-,8.12248223661888,NKX2-1,0.012648815
chr1,1612263,1612272,10,-,7.98400732168455,NKX2-1,0.039246153
chr1,1693232,1693241,10,+,7.90664011789189,NKX2-1,0.0073250313
chr1,1692940,1692949,10,-,8.11875094766939,NKX2-1,0.016760938
chr1,1781665,1781674,10,-,7.98400732168455,NKX2-1,0.022378853
chr1,2195456,2195465,10,-,7.81949520489078,NKX2-1,0.012422694
chr1,2258601,2258610,10,-,7.95238064139338,NKX2-1,0.005530846
chr1,2547266,2547275,10,-,7.98400732168455,NKX2-1,-0.0015200501
chr1,3133680,3133689,10,-,7.98400732168455,NKX2-1,0.028653976
chr1,3675357,3675366,10,+,7.87888100153692,NKX2-1,0.011891701
chr1,3713236,3713245,10,-,7.95238064139338,NKX2-1,0.019983847
chr1,3856443,3856452,10,-,7.8065852726098,NKX2-1,0.043346062
chr1,4653736,4653745,10,-,8.11875094766939,NKX2-1,0.0029186981
chr1,4674438,4674447,10,-,8.05937788768344,NKX2-1,0.03149788
chr1,4734673,4734682,10,-,7.81949520489078,NKX2-1,0.012703353
chr1,4777954,4777963,10,+,7.87888100153692,NKX2-1,0.02645244
chr1,5651948,5651957,10,-,8.01363736418196,NKX2-1,0.052934337
chr1,5986178,5986187,10,+,8.01735591647126,NKX2-1,0.045406926
chr1,6235255,6235264,10,+,8.30528373460203,NKX2-1,0.00818573
chr1,6259919,6259928,10,+,8.11875094766939,NKX2-1,0.032469425
chr1,6259962,6259971,10,+,8.11875094766939,NKX2-1,0.033662982
chr1,6584284,6584293,10,-,7.98400732168455,NKX2-1,0.003898265
chr1,6595330,6595339,10,-,7.8065852726098,NKX2-1,0.031695616
chr1,6926027,6926036,10,+,8.14652280068455,NKX2-1,0.039738458
chr1,7647582,7647591,10,-,7.92462152503841,NKX2-1,0.0012894231
chr1,7705343,7705352,10,-,7.81949520489078,NKX2-1,-0.0013344982
chr1,7705447,7705456,10,-,7.92462152503841,NKX2-1,-0.0036195705
chr1,7976230,7976239,10,-,8.30528373460203,NKX2-1,0.05019263
chr1,8022406,8022415,10,+,8.08713700403841,NKX2-1,0.020660257
chr1,8077391,8077400,10,+,7.87888100153692,NKX2-1,0.022796644
chr1,8167264,8167273,10,-,7.87888100153692,NKX2-1,0.05998268
chr1,8224871,8224880,10,+,7.74719947596366,NKX2-1,0.007390903
chr1,8312172,8312181,10,-,7.74564736343291,NKX2-1,0.04593166
chr1,8343469,8343478,10,-,8.15024135297385,NKX2-1,0.011524836
chr1,8373667,8373676,10,-,7.95238064139338,NKX2-1,0.013328307
chr1,8484192,8484201,10,+,8.16449147117088,NKX2-1,0.015798368
chr1,8620206,8620215,10,+,8.51388793870494,NKX2-1,0.060455266
chr1,8630354,8630363,10,+,7.76361603391923,NKX2-1,0.053976297
chr1,8661933,8661942,10,-,7.74719947596366,NKX2-1,0.027854167
chr1,8705255,8705264,10,+,8.03160603466829,NKX2-1,0.028016776
chr1,8879446,8879455,10,-,8.05936515102325,NKX2-1,0.016972555
chr1,9303310,9303319,10,+,8.09099183131443,NKX2-1,0.046381913
chr1,9837613,9837622,10,+,7.84725432124575,NKX2-1,0.003729449
chr1,10258159,10258168,10,+,7.77882615625483,NKX2-1,0.05408249
chr1,10438745,10438754,10,-,7.98400732168455,NKX2-1,0.04088727
chr1,10780306,10780315,10,+,8.01363736418196,NKX2-1,0.0069660353
chr1,11282173,11282182,10,-,7.98400732168455,NKX2-1,0.0712058
chr1,11484194,11484203,10,+,8.61901425885257,NKX2-1,0.031754468
chr1,11762382,11762391,10,-,7.77882615625483,NKX2-1,0.015097453
chr1,11804410,11804419,10,+,7.95238064139338,NKX2-1,-0.00091561035
chr1,11804561,11804570,10,+,7.82300183056537,NKX2-1,0.06952582
chr1,11923921,11923930,10,-,7.74719947596366,NKX2-1,0.018195795
chr1,11929769,11929778,10,-,8.70615917185368,NKX2-1,0.025173241
chr1,12125138,12125147,10,+,8.14652280068455,NKX2-1,0.052443434
chr1,12166861,12166870,10,-,7.92462152503841,NKX2-1,-0.0038716637
chr1,12282886,12282895,10,+,7.81949520489078,NKX2-1,0.04925513
chr1,12454852,12454861,10,+,8.11875094766939,NKX2-1,0.05640298
chr1,12475665,12475674,10,+,7.98400732168455,NKX2-1,0.013872165
chr1,12476678,12476687,10,-,8.67840005549871,NKX2-1,0.058505066
chr1,12496500,12496509,10,-,8.01176643803952,NKX2-1,0.043015618
chr1,12706131,12706140,10,+,7.81949520489078,NKX2-1,0.04524637
chr1,13601311,13601320,10,+,8.57327373535108,NKX2-1,0.058278468
chr1,13756225,13756234,10,+,7.95238064139338,NKX2-1,-0.006641453
chr1,13771331,13771340,10,-,8.11875094766939,NKX2-1,0.07810554
chr1,13828819,13828828,10,+,8.01176643803952,NKX2-1,0.0024037878
chr1,14081695,14081704,10,+,8.08713700403841,NKX2-1,0.05296502
chr1,14096666,14096675,10,+,8.04511503282623,NKX2-1,0.09114498
chr1,14313510,14313519,10,+,8.09099183131443,NKX2-1,0.054500446
chr1,15833512,15833521,10,+,7.74719947596366,NKX2-1,0.0048276926
chr1,15976045,15976054,10,+,7.84725432124575,NKX2-1,0.00088145264
chr1,16032991,16033000,10,-,8.51388793870494,NKX2-1,0.028368253
chr1,16378161,16378170,10,+,8.05936515102325,NKX2-1,0.054546565
chr1,18100937,18100946,10,+,7.77882615625483,NKX2-1,0.02100483
chr1,18669139,18669148,10,-,8.01176643803952,NKX2-1,0.035262622
chr1,19203660,19203669,10,+,7.74936591572221,NKX2-1,0.06927931
chr1,19203880,19203889,10,+,8.16449147117088,NKX2-1,0.02842509
chr1,19313055,19313064,10,-,7.98201068389079,NKX2-1,0.030868264
chr1,19341802,19341811,10,+,7.8065852726098,NKX2-1,0.014289033
chr1,19354771,19354780,10,-,7.92462152503841,NKX2-1,0.018174257
chr1,19452606,19452615,10,+,8.61901425885257,NKX2-1,0.0016938278
chr1,20187343,20187352,10,-,7.95425156753582,NKX2-1,0.04358923
chr1,20250584,20250593,10,+,7.76361603391923,NKX2-1,0.021895744
chr1,20341473,20341482,10,+,7.82300183056537,NKX2-1,0.015251081
