seqnames,start,end,width,strand,score,regulon_tf,count
chr1,858937,858947,10,+,7.95238064139338,NKX2-1,0.09305259
chr1,859002,859012,10,-,7.74637654154324,NKX2-1,0.17954719
chr1,1001842,1001852,10,+,8.70615917185368,NKX2-1,-0.009976908
chr1,1053821,1053831,10,-,7.81949520489078,NKX2-1,-0.00508809
chr1,1241214,1241224,10,-,8.64677337520754,NKX2-1,-0.0017088918
chr1,1282160,1282170,10,+,8.54164705505991,NKX2-1,-0.047065094
chr1,1374411,1374421,10,+,7.95238064139338,NKX2-1,-0.049861252
chr1,1408046,1408056,10,+,7.74936591572221,NKX2-1,0.009324838
chr1,1577296,1577306,10,-,8.51388793870494,NKX2-1,-0.011941906
chr1,1612099,1612109,10,-,8.12248223661888,NKX2-1,-0.012476468
chr1,1612262,1612272,10,-,7.98400732168455,NKX2-1,0.18724644
chr1,1693231,1693241,10,+,7.90664011789189,NKX2-1,0.007972504
chr1,1692939,1692949,10,-,8.11875094766939,NKX2-1,0.018128142
chr1,1781664,1781674,10,-,7.98400732168455,NKX2-1,-0.030509267
chr1,2195455,2195465,10,-,7.81949520489078,NKX2-1,-0.014399064
chr1,2258600,2258610,10,-,7.95238064139338,NKX2-1,0.0112550985
chr1,2547265,2547275,10,-,7.98400732168455,NKX2-1,-0.019093731
chr1,3133679,3133689,10,-,7.98400732168455,NKX2-1,0.18938655
chr1,3675356,3675366,10,+,7.87888100153692,NKX2-1,-0.025657738
chr1,3713235,3713245,10,-,7.95238064139338,NKX2-1,0.09514148
chr1,3856442,3856452,10,-,7.8065852726098,NKX2-1,0.03039243
chr1,4653735,4653745,10,-,8.11875094766939,NKX2-1,-0.06081906
chr1,4674437,4674447,10,-,8.05937788768344,NKX2-1,0.07165216
chr1,4734672,4734682,10,-,7.81949520489078,NKX2-1,0.14393663
chr1,4777953,4777963,10,+,7.87888100153692,NKX2-1,0.049990486
chr1,5651947,5651957,10,-,8.01363736418196,NKX2-1,0.1736288
chr1,5986177,5986187,10,+,8.01735591647126,NKX2-1,0.17718136
chr1,6235254,6235264,10,+,8.30528373460203,NKX2-1,0.029051177
chr1,6259918,6259928,10,+,8.11875094766939,NKX2-1,0.0010805175
chr1,6259961,6259971,10,+,8.11875094766939,NKX2-1,0.0032693415
chr1,6584283,6584293,10,-,7.98400732168455,NKX2-1,-0.015959848
chr1,6595329,6595339,10,-,7.8065852726098,NKX2-1,0.047336943
chr1,6926026,6926036,10,+,8.14652280068455,NKX2-1,0.1488983
chr1,7647581,7647591,10,-,7.92462152503841,NKX2-1,-0.008920299
chr1,7705342,7705352,10,-,7.81949520489078,NKX2-1,-0.0006771534
chr1,7705446,7705456,10,-,7.92462152503841,NKX2-1,-0.04467396
chr1,7976229,7976239,10,-,8.30528373460203,NKX2-1,0.13750678
chr1,8022405,8022415,10,+,8.08713700403841,NKX2-1,0.104069576
chr1,8077390,8077400,10,+,7.87888100153692,NKX2-1,0.1257875
chr1,8167263,8167273,10,-,7.87888100153692,NKX2-1,0.11760633
chr1,8224870,8224880,10,+,7.74719947596366,NKX2-1,-0.007926097
chr1,8312171,8312181,10,-,7.74564736343291,NKX2-1,0.2000396
chr1,8343468,8343478,10,-,8.15024135297385,NKX2-1,-0.041206066
chr1,8373666,8373676,10,-,7.95238064139338,NKX2-1,0.0064081214
chr1,8484191,8484201,10,+,8.16449147117088,NKX2-1,-0.004361767
chr1,8620205,8620215,10,+,8.51388793870494,NKX2-1,0.24048543
chr1,8630353,8630363,10,+,7.76361603391923,NKX2-1,0.26064992
chr1,8661932,8661942,10,-,7.74719947596366,NKX2-1,0.16936742
chr1,8705254,8705264,10,+,8.03160603466829,NKX2-1,0.03560809
chr1,8879445,8879455,10,-,8.05936515102325,NKX2-1,-0.0026227438
chr1,9303309,9303319,10,+,8.09099183131443,NKX2-1,0.12213723
chr1,9837612,9837622,10,+,7.84725432124575,NKX2-1,-0.018645884
chr1,10258158,10258168,10,+,7.77882615625483,NKX2-1,0.05766816
chr1,10438744,10438754,10,-,7.98400732168455,NKX2-1,0.012352559
chr1,10780305,10780315,10,+,8.01363736418196,NKX2-1,0.026968911
chr1,11282172,11282182,10,-,7.98400732168455,NKX2-1,0.14427146
chr1,11484193,11484203,10,+,8.61901425885257,NKX2-1,0.03716016
chr1,11762381,11762391,10,-,7.77882615625483,NKX2-1,-0.019403126
chr1,11804409,11804419,10,+,7.95238064139338,NKX2-1,0.003371031
chr1,11804560,11804570,10,+,7.82300183056537,NKX2-1,0.19569781
chr1,11923920,11923930,10,-,7.74719947596366,NKX2-1,-0.05430581
chr1,11929768,11929778,10,-,8.70615917185368,NKX2-1,0.02324653
chr1,12125137,12125147,10,+,8.14652280068455,NKX2-1,0.10999367
chr1,12166860,12166870,10,-,7.92462152503841,NKX2-1,-0.08104135
chr1,12282885,12282895,10,+,7.81949520489078,NKX2-1,0.2060394
chr1,12454851,12454861,10,+,8.11875094766939,NKX2-1,0.1557978
chr1,12475664,12475674,10,+,7.98400732168455,NKX2-1,-0.015195461
chr1,12476677,12476687,10,-,8.67840005549871,NKX2-1,0.095330164
chr1,12496499,12496509,10,-,8.01176643803952,NKX2-1,0.09225109
chr1,12706130,12706140,10,+,7.81949520489078,NKX2-1,0.21105698
chr1,13601310,13601320,10,+,8.57327373535108,NKX2-1,0.19628143
chr1,13756224,13756234,10,+,7.95238064139338,NKX2-1,-0.027583212
chr1,13771330,13771340,10,-,8.11875094766939,NKX2-1,0.19384322
chr1,13828818,13828828,10,+,8.01176643803952,NKX2-1,-0.02277761
chr1,14081694,14081704,10,+,8.08713700403841,NKX2-1,0.19106157
chr1,14096665,14096675,10,+,8.04511503282623,NKX2-1,0.24210632
chr1,14313509,14313519,10,+,8.09099183131443,NKX2-1,0.1995655
chr1,15833511,15833521,10,+,7.74719947596366,NKX2-1,-0.027879484
chr1,15976044,15976054,10,+,7.84725432124575,NKX2-1,0.006992375
chr1,16032990,16033000,10,-,8.51388793870494,NKX2-1,-0.023480717
chr1,16378160,16378170,10,+,8.05936515102325,NKX2-1,0.09897505
chr1,18100936,18100946,10,+,7.77882615625483,NKX2-1,0.030544149
chr1,18669138,18669148,10,-,8.01176643803952,NKX2-1,-0.018489212
chr1,19203659,19203669,10,+,7.74936591572221,NKX2-1,0.17406656
chr1,19203879,19203889,10,+,8.16449147117088,NKX2-1,0.09498561
chr1,19313054,19313064,10,-,7.98201068389079,NKX2-1,-0.0014777893
chr1,19341801,19341811,10,+,7.8065852726098,NKX2-1,-0.020609442
chr1,19354770,19354780,10,-,7.92462152503841,NKX2-1,0.006116172
chr1,19452605,19452615,10,+,8.61901425885257,NKX2-1,-0.07500822
chr1,20187342,20187352,10,-,7.95425156753582,NKX2-1,-0.008205647
chr1,20250583,20250593,10,+,7.76361603391923,NKX2-1,0.07591094
chr1,20341472,20341482,10,+,7.82300183056537,NKX2-1,0.031541817
