,idxATAC,chr,start,end,idxRNA,target,distance,idxTF,tf,all,pval.all,pval.A9690,pval.ARV110,pval.DMSO,pval.Enza,stats.all,stats.A9690,stats.ARV110,stats.DMSO,stats.Enza,qval.all,qval.A9690,qval.ARV110,qval.DMSO,qval.Enza,weight.all,weight.A9690,weight.ARV110,weight.DMSO,weight.Enza
1,4,chr1,858586,859086,33,AL645608.6,43746,1,AR,0.62232426838659,0.00304280001274529,1,0.787476423552121,2.60073755442353e-07,1,8.78162507405814,0,0.0726782571584914,26.5255631496474,0,1,1,1,0.00441501207238938,1,0.0424231506224936,0,-0.00740588371976243,0.14032758419884,0
2,5,chr1,869644,870144,33,AL645608.6,32688,1,AR,0.597803250837665,0.000979441593089615,1,0.0454323158605936,0.00223291739346574,1,10.8660319539423,0,4.00251899677748,9.34748449630035,0,1,1,1,1,1,0.0487373464307857,0,0.0563736367795229,0.0857215477625594,0
3,6,chr1,903998,904498,29,FAM87B,86428,1,AR,0.582374634555349,0.284624864216688,0.752901583828063,0.770587539716559,0.0100262228041302,0.803734355621941,1.1448735878507,0.0991089305362651,0.085034324410976,6.63023159023801,0.0617607396693982,1,1,1,1,1,0.0152635974704032,-0.0101386775138093,-0.00798056766584182,0.0698529142573284,-0.00707139044357224
4,12,chr1,916500,917000,33,AL645608.6,11467,1,AR,0.586902218776335,0.000899689845132625,1,0.100865333616447,0.00163880489018827,1,11.0233982646607,0,2.69180755960523,9.91563608285626,0,1,1,1,1,1,0.0490622204189071,0,0.0469031606238021,0.0880808940290852,0
5,13,chr1,917310,917810,33,AL645608.6,12277,1,AR,0.539862466731333,0.118019246602189,1,0.0367912982602213,0.756689610348661,1,2.44341227514143,0,4.36004662679936,0.0959951392787535,0,1,1,1,1,1,0.0229760752921613,0,0.0587771988693997,-0.00872127563593006,0
6,21,chr1,923625,924125,39,KLHL17,34457,1,AR,0.564096636035441,0.568605384468161,0.422186268019489,0.252469816729393,0.00971701182084656,0.442212910671148,0.325021559770766,0.644221456163574,1.30958494687958,6.68605280750742,0.590533450918595,1,1,1,1,1,0.0142386215433292,-0.0274730786927358,-0.0223867869811378,0.0840744455358472,0.0226874171773708
7,22,chr1,924608,925108,33,AL645608.6,19575,1,AR,0.554961165300701,0.0764855488648914,1,0.0333472219202006,0.779910084215553,1,3.13804259539793,0,4.52786366200975,0.0780845966068783,0,1,1,1,1,1,0.0258604106936336,0,0.0597235458763445,-0.00778899215414172,0
8,27,chr1,932994,933494,33,AL645608.6,27961,1,AR,0.509102837159776,0.164822111816549,1,0.656581487634273,0.00467182012004533,1,1.92941819062509,0,0.197702820341619,8.00229106393169,0,1,1,1,1,1,0.0205283734635896,0,-0.0126305499400799,0.0798490213048149,0
9,39,chr1,960315,960815,35,AL645608.4,45945,1,AR,0.54190775219322,0.0010180183910898,0.168485650741124,1,0.00637076664794691,0.171798211056747,10.7945048546264,1.89636593903304,0,7.44232132045993,1.8671817102042,1,1,1,1,1,0.0481518861900927,0.0450304591249389,0,0.0766236983031054,0.0397749862146112
10,39,chr1,960315,960815,33,AL645608.6,55282,1,AR,0.682304312677585,0.100457400624314,1,0.714591561661614,0.00245985554402507,1,2.69826678775571,0,0.133733926617057,9.17021585604069,0,1,1,1,1,1,0.0240574988021603,0,-0.0102088083423663,0.0849716161920229,0
11,41,chr1,966198,966698,33,AL645608.6,61165,1,AR,0.544722840730619,0.148844526795008,1,0.672404550893602,0.00202072709884945,1,2.08405274964486,0,0.178802300951335,9.53061213742362,0,1,1,1,1,1,0.0212888818063981,0,-0.0119492505920648,0.0864892417197186,0
12,42,chr1,966749,967249,35,AL645608.4,52379,1,AR,0.565014683156147,1.15880037097034e-05,0.626897067004558,1,5.88914803535157e-06,0.00131546518009045,19.2299662426014,0.23629211287227,0,20.5238946465086,10.3206981525687,0.195373742545599,1,1,0.0998446157913505,1,0.0643035799095569,-0.0158767632431178,0,0.127048404881736,0.0940749360412146
13,48,chr1,984075,984575,38,NOC2L,24620,1,AR,0.954091988600031,0.0513822272036284,0.00945472048875825,0.522760584429771,0.0310935897754168,0.88272248210054,3.79577025130952,6.73484956840128,0.408443495801465,4.64778803401292,0.0217618186742014,1,1,1,1,1,0.0342988746493734,0.100016226898478,-0.0126451828069915,0.0606993912759339,0.00739769640775314
14,49,chr1,998782,999282,49,RNF223,73022,1,AR,0.519196700020573,0.543700855532032,0.68532678155601,0.010697627826186,0.651935981654744,0.441752448780093,0.368723569397627,0.164191145447603,6.51486773133963,0.203468046714142,0.59172602987164,1,1,1,1,1,0.00878073739525271,-0.0131101923423347,0.0708085355975611,-0.0124043910561435,-0.0224592306413276
15,49,chr1,998782,999282,33,AL645608.6,93749,1,AR,0.52520594934908,0.0331676676855559,1,0.00414980470663803,0.821571006289586,1,4.53710360754915,0,8.21707449538731,0.0508614518574775,0,1,1,1,1,1,0.030843536116639,0,0.07922215120795,-0.00619553088190026,0
16,50,chr1,999343,999843,33,AL645608.6,94310,1,AR,0.580986989351702,0.09690497371552,1,0.726763794014513,0.00163880489018827,1,2.75575643945321,0,0.122103857579305,9.91563608285626,0,1,1,1,1,1,0.0242994535446278,0,-0.00972460645625106,0.0880808940290852,0
17,51,chr1,999919,1000419,33,AL645608.6,94886,1,AR,0.567148277201168,0.0382862064567586,1,0.237169349186221,0.0681237406107223,1,4.29226154188146,0,1.39734059766517,3.32765979593572,0,1,1,1,1,1,0.0320753156245015,0,0.0347987094966157,0.0544071521953851,0
18,53,chr1,1001740,1002240,43,HES4,1560,1,AR,0.527641926119985,0.0425925639054238,0.509049914607649,0.706426500388548,0.0344205751022572,0.766610889764317,4.11150024968145,0.436019586893118,0.141872544880094,4.47369021392473,0.0880967053225737,1,1,1,1,1,0.0301263278189806,0.0171276090987864,0.0164998908138183,0.0630507447234171,0.00244816493510604
19,56,chr1,1013704,1014204,49,RNF223,58100,1,AR,0.541401922380427,0.0870257727147068,0.766611982078836,0.651895703325252,0.00691982872441258,0.114707003471071,2.92854720128175,0.0880958560515796,0.203518469216564,7.2936619248124,2.48814290710819,1,1,1,1,1,0.0244604761684252,-0.00950963718922894,-0.0123498387658142,0.0731853780946615,0.0452085059542946
20,59,chr1,1019279,1019779,35,AL645608.4,104909,1,AR,0.556061855957637,0.000932872724933076,0.00925015589976095,1,0.267906353624381,0.0229288730139535,10.9562727750577,6.77387923529679,0,1.22743549455583,5.17388570872744,1,1,1,1,1,0.0527971433569614,0.0913981462118385,0,0.0337878640395847,0.0723819226335573
21,74,chr1,1068526,1069026,49,RNF223,3278,1,AR,0.552861632353607,0.598372670514398,0.0575772499566966,0.288024552681898,0.00853640180890342,0.229965896822755,0.277457277941469,3.60583205115701,1.12883228038126,6.91733671056024,1.44107230610205,1,1,1,1,1,0.00809819851685917,0.0649443467149042,-0.0309694705738856,0.077953785434652,-0.0369500325506987
22,90,chr1,1124695,1125195,49,RNF223,50190,1,AR,0.707002255617761,0.245440204679368,0.876822330045355,0.164407224557977,0.0483843799271647,0.489504511667476,1.34907321088319,0.0240246017693795,1.93321419338886,3.896584444538,0.477615225710319,1,1,1,1,1,0.0166690828449568,-0.00492607353398411,0.0382713978935888,0.0540336115015011,-0.0200432731031292
23,93,chr1,1153808,1154308,49,RNF223,79303,1,AR,0.605275109793454,0.0943034238516402,0.876822330045355,0.642760553147921,0.0254972825093455,0.151520120907247,2.79933480518061,0.0240246017693795,0.21514991442517,4.98979138615025,2.05688013468876,1,1,1,1,1,0.0239569990029095,-0.00492607353398411,-0.0127072691274446,0.0609199802543057,0.0409973893308259
24,97,chr1,1163256,1163756,64,SCNN1D,114678,1,AR,0.524409647038603,0.0172978697793785,0.610583195379309,0.336158661285779,0.000463421932281291,0.662352508298701,5.66589691312523,0.25932655937106,0.925026378152823,12.2573791109552,0.190678498282224,1,1,1,1,1,0.0326047542342434,-0.0164659021640656,0.0264971307417118,0.090806449408904,0.0103371492003819
25,99,chr1,1164619,1165119,59,B3GALT6,65116,1,AR,0.548703382389407,0.00143793670075345,0.0484910366602547,0.206819627181837,0.754375110878893,0.00636983219754089,10.1564959104723,3.89288575355513,1.59355030219942,0.0978911946632504,7.44258532564446,1,1,1,1,1,0.0483839552331805,0.0686423051037402,0.0324861574612896,0.0140935967257583,0.0806829651940921
26,114,chr1,1272463,1272963,58,SDF4,43471,1,AR,0.66060759536125,0.00509325748116042,0.0585205081040511,0.0277495768026314,0.579951922723619,0.346282306231679,7.84602489983586,3.57882563625614,4.84355847622696,0.306312378247627,0.887034099751787,1,1,1,1,1,0.0229888615389644,0.0448078026315651,0.0444598916393922,-0.00131728828589907,0.00809647265731103
27,114,chr1,1272463,1272963,69,CPTP,49837,1,AR,0.856697216475218,0.275275811459707,0.0405638706805854,0.568631683610661,0.338776296837866,0.26790974599424,1.19026647627419,4.19414217908907,0.324977347219937,0.915056627943658,1.22741809158985,1,1,1,1,1,0.0140757664955792,0.0690296596977708,0.0144047959853408,0.0260011922560311,-0.03851693598913
28,142,chr1,1349213,1349713,81,LINC01770,82805,1,AR,0.51551355748593,0.071539973342262,0.0399405467368678,1,1,1,3.24732844032309,4.22040838192029,0,0,0,1,1,1,1,1,0.0283612383640578,0.0711309008772211,0,0,0
29,162,chr1,1419928,1420428,82,VWA1,13093,1,AR,0.634317848270872,0.0426221589007187,0.687032353135296,0.397830874674879,0.224200413811026,0.973280065239209,4.11032548543094,0.162316841816444,0.714872849699207,1.47728104010448,0.00112189719711406,1,1,1,1,1,0.0261073703487043,0.0100935953403954,0.0322846999988937,0.0188897801453276,-0.0110277903230844
30,178,chr1,1505441,1505941,82,VWA1,69719,1,AR,0.500414089661906,0.0157707204171461,0.000151860669899531,0.511194331314693,0.0680010589106133,0.535367207881093,5.82825935616623,14.3489958184754,0.431621586612538,3.33062428475591,0.384193949869662,1,1,1,1,1,0.0412382491738356,0.119161910891434,-0.0141579590581468,0.0651568819038595,0.0183185222910382
31,184,chr1,1543645,1544145,85,ATAD3A,31284,1,AR,0.519178129974315,0.0387414733330992,0.937749560184627,0.947598573463727,0.396697006346195,0.0399399744177533,4.27216791455372,0.0060994032309688,0.00431947759331856,0.718315517611404,4.22043269604976,1,1,1,1,1,0.0321567788554433,0.00187113672325399,-0.00400383028713973,0.0284369836931722,0.0621497628737491
32,204,chr1,1692913,1693413,94,CDK11B,33702,1,AR,0.916562898655238,0.0238491936905076,0.0438965333144644,0.731158831861694,0.0594716218217673,0.730877922955664,5.10556620913503,4.06053717859634,0.118050264035493,3.55205866831349,0.118307059339324,1,1,1,1,1,0.0318407856772674,0.0634400499963467,0.0105135492317526,0.0485040055210062,0.00975232864892476
33,204,chr1,1692913,1693413,97,CDK11A,27416,1,AR,0.949984643153416,0.155005910442572,0.426349728109267,0.0157948925978492,0.834304094565778,0.852260723522228,2.02228328446695,0.632746329630437,5.82556519926892,0.0437582179629513,0.0346833586141716,1,1,1,1,1,0.0189365155303711,0.0219113295161914,0.0652954073533126,-0.00691493695705906,-0.0061973001545389
34,212,chr1,1778707,1779207,98,SLC35E2A,32509,1,AR,0.522359220173266,0.0722742419571012,0.041523328888426,0.622099657517954,0.355864544168136,0.570650163089008,3.23059914731932,4.15452866542347,0.24292751679756,0.852434487480554,0.321595865323712,1,1,1,1,1,0.0300336122711607,0.0635752353617154,0.0063563517757792,0.0415966321110078,0.0240865541271543
