,idxATAC,chr,start,end,idxRNA,target,distance,idxTF,tf,all,pval.all,pval.A9690,pval.ARV110,pval.DMSO,pval.Enza,stats.all,stats.A9690,stats.ARV110,stats.DMSO,stats.Enza,qval.all,qval.A9690,qval.ARV110,qval.DMSO,qval.Enza,weight.all,weight.A9690,weight.ARV110,weight.DMSO,weight.Enza
1,20,chr1,924608,925108,40,PLEKHN1,39372,1,AR,0.550806154073879,0.0851490202305641,0.0413951196434814,0.491951942548077,0.240723400299775,0.793917269949335,2.96377328143288,4.15976611516695,0.472254227143499,1.37635266001338,0.0682396728033396,1,1,1,1,1,0.0320317886420789,0.0472774043227432,-0.0346556350505743,0.046469855033375,0.00368796122787999
2,20,chr1,924608,925108,43,HES4,72871,1,AR,0.510277629314379,0.00270516620434979,0.645898272320413,0.821997825028764,0.0783681042010789,0.328028948337118,8.9963685181192,0.211110656358625,0.0506142699139565,3.09842446604839,0.956663469351839,1,1,1,1,1,0.0482917003218264,-0.013168005731265,0.0255425384918817,0.0526055650304584,0.0252796152022514
3,23,chr1,932994,933494,38,NOC2L,23760,1,AR,0.512869980815483,2.46595360771476e-07,0.21131208285868,0.50519964990056,0.00203039611458091,0.0671911320498248,26.6283753748481,1.56241421333948,0.44399680403185,9.52185166919881,3.35034004447199,0.00240726391185115,1,1,1,1,0.0828726473485962,0.0429845057071052,0.033669492235547,0.0947983433998602,0.0546421645887543
4,23,chr1,932994,933494,40,PLEKHN1,30986,1,AR,0.533951021804519,0.00249626559217927,0.684162815904163,0.804598405392942,0.421602363069101,0.0643414266328442,9.1433286224991,0.165477457336563,0.0612069318693924,0.645844349608325,3.42178452511476,1,1,1,1,1,0.0570820622546059,0.00959202210446991,-0.00239712195249678,0.0442522769667742,0.0661900604862858
5,23,chr1,932994,933494,43,HES4,64485,1,AR,0.689874336325098,0.00424243806696912,0.456480487781915,0.115882804240719,0.0805650974777982,0.257266742403157,8.17702076168844,0.554510630078718,2.47210272022537,3.05346482623027,1.2834058062244,1,1,1,1,1,0.0581932827417483,0.0172727671772913,-0.0424699147923573,0.0670222690146088,0.0426322738343851
6,36,chr1,960855,961355,35,AL645608.4,46485,1,AR,0.511821513128607,0.336688382853668,0.0257162793946135,0.660579150875907,0.0913666189113596,0.336141401447871,0.923000452199875,4.9749949103968,0.192820843752521,2.85012876057591,0.925092460515529,1,1,1,1,1,0.018271442190109,0.0539859562288023,0.0440065098876564,0.0422558836641088,-0.0243360026943684
7,50,chr1,1005158,1005658,40,PLEKHN1,38477,1,AR,0.551138546263977,0.0227683556051785,0.383355130967094,0.408277726322997,0.303232757061862,0.105490032143547,5.18609233953182,0.75991497929675,0.683810342250784,1.05992295817416,2.62051750152337,1,1,1,1,1,0.0503571863810917,0.0212602513464114,-0.00373908246901543,0.0541779927162363,0.0491282461385663
8,69,chr1,1079361,1079861,40,PLEKHN1,112680,1,AR,0.531224163661719,0.0403064839823549,0.460082044246859,0.681880930126228,0.777808775430889,0.136332836170764,4.20493647624931,0.545695061909622,0.168016194331984,0.0796231364853374,2.21886972613198,1,1,1,1,1,0.0363995515781592,-0.0192139407319183,0.0356773474330076,0.0125489747287009,0.0428132333052815
9,69,chr1,1079361,1079861,43,HES4,79181,1,AR,0.543817359468004,0.000619941051569636,0.533597414149498,0.494440573783745,0.273700952579998,0.018192694573267,11.7151262484368,0.387536042379133,0.466848534663567,1.19810402282262,5.57749808697769,1,1,1,1,1,0.0623992092362799,0.0121668575960781,-0.0189033551543247,0.0378121547162833,0.079934488201206
10,75,chr1,1132490,1132990,46,AGRN,112171,1,AR,0.561143893984706,6.6656953752807e-07,0.34345677336689,0.0902451620444807,0.0995853642945017,0.00155074887617985,24.7094380372628,0.897485736439795,2.86999478889174,2.71217126601295,10.0173207660399,0.00648105561338543,1,1,1,1,0.0732582119889914,-0.0240287169491194,0.0527392320708881,0.0447887278913581,0.0907168396874543
