,idxATAC,chr,start,end,idxRNA,target,distance,idxTF,tf,all,pval.all,pval.A9690,pval.ARV110,pval.DMSO,pval.Enza,stats.all,stats.A9690,stats.ARV110,stats.DMSO,stats.Enza,qval.all,qval.A9690,qval.ARV110,qval.DMSO,qval.Enza,weight.all,weight.A9690,weight.ARV110,weight.DMSO,weight.Enza
1,335,chr1,2410741,2411241,119,PEX10,0,1,AR,0.831931398104009,2.90369038360732e-06,0.804131277668194,0.906059534422152,0.0334825882931993,0.633493661590305,21.8791683902401,0.0615060059725807,0.0139264196677565,4.52093193785262,0.227352814542338,0.0038851377332666,1,1,1,1,0.0841352173017644,0.00506183478630064,0.0170962739233648,0.0665112288151312,0.0246739334152003
2,345,chr1,2437918,2438418,123,PANK4,86176,1,AR,0.534501838088663,0.013936029512937,0.756542406414476,0.542796627447787,0.820846288019841,0.00403280011342686,6.04622893204318,0.0961151244903997,0.370381066602282,0.051282604851138,8.26898700226435,1,1,1,1,1,0.050573614418732,-0.007474790699442,-0.00419563886585699,0.0128871244332879,0.0937832755303597
3,345,chr1,2437918,2438418,119,PEX10,25189,1,AR,0.690094510058263,5.77242658260015e-06,0.585432859299396,0.491324131813891,0.0041242948952584,0.522249046702284,20.56221535321,0.2975334731704,0.473625168721556,8.22826456716717,0.409449505916687,0.0076715549282756,1,1,1,1,0.0780729488739519,-0.0133185463109703,0.0488743647955349,0.0904772234557071,0.00632016750744476
4,345,chr1,2437918,2438418,124,HES5,89843,1,AR,0.581859223145901,0.0310522842904437,0.642776361123756,0.981211966930502,0.131075631064059,0.242153546071558,4.65006982661093,0.215129447931478,0.000554578194264634,2.27971886966821,1.3680131468278,1,1,1,1,1,0.0402086886141042,-0.0115103617356746,0.00576132313079287,0.0315197152444588,0.0604750507333988
5,769,chr1,8890409,8890909,233,ENO1,11524,1,AR,0.516553663241005,0.000258534465725836,0.404929378487105,0.447666824943498,0.360283401517503,0.0560986972766201,13.3491885668886,0.693638984091894,0.576552468297614,0.836905152304398,3.6491243794295,0.312568169062536,1,1,1,1,0.0558572841275275,-0.0225370943388412,0.0302163765139388,0.0325967200963388,0.0476527322154652
6,910,chr1,10438683,10439183,269,AL354956.1,17370,1,AR,0.632482125094705,0.00740284448616737,0.556611025524213,0.536112307074048,0.0303907985253553,0.206132870154095,7.17252648891156,0.345606075485286,0.382792888088104,4.68704898199996,1.59838048872361,1,1,1,1,1,0.0418334746572135,-0.0147020579793401,-0.0167237325132884,0.0730366678523075,0.0270545907897904
7,1000,chr1,11071872,11072372,278,SRM,11655,1,AR,0.540814529399992,0.0169685558894788,0.168564564308988,0.818107509678016,0.153157747790405,0.6329158572391,5.69962314865588,1.89566306620821,0.0528906827359481,2.04051537456709,0.228127353787613,1,1,1,1,1,0.0394916788619794,0.037263745686765,0.0221773681256131,0.0385509520096814,-0.00282510975953822
8,1003,chr1,11152231,11152731,278,SRM,92014,1,AR,0.503392077243253,0.000676883191814534,0.543823733646115,0.763074581440877,0.110425168959637,0.362006642856406,11.5516730701934,0.368498720072278,0.0908695645592101,2.5481259234931,0.830919977209537,0.782476969737601,1,1,1,1,0.051993852293737,-0.0153291711387452,0.0261856623716321,0.0448741283866877,0.0191657099555841
9,1004,chr1,11170029,11170529,278,SRM,109812,1,AR,0.516071660913813,0.0176071733987213,0.59909733459497,0.384956713727553,0.476971896239176,0.496922605166131,5.63481798010884,0.276359475106718,0.754812866356423,0.505778838712332,0.461502518467223,1,1,1,1,1,0.0483806459256729,-0.0132716472256578,0.0388523450270018,0.0266908456182021,0.0415457780159569
10,1267,chr1,16608107,16608607,407,NBPF1,2878,1,AR,0.514041528459232,0.00137291881814437,0.611860201030033,0.893726838630251,0.037353852218781,0.228746729799539,10.2418223976097,0.257474990622097,0.0178462723960391,4.33420518537059,1.44863733332367,1,1,1,1,1,0.0561960020014621,-0.0124185472891843,-0.00505501296245331,0.060003521746936,0.0529937421014078
