,seqnames,start,end,width,strand,score,count
1,chr1,984295,984312,17,+,8.64732959418872,0.006262176
2,chr1,984295,984312,17,-,9.03912547001967,0.006262176
3,chr1,1083750,1083767,17,+,7.20552861075685,0.0049505546
4,chr1,1083750,1083767,17,-,7.15473894465023,0.0049505546
5,chr1,1213736,1213753,17,+,11.0150676062809,0.0019499802
6,chr1,1213736,1213753,17,-,9.79712377605205,0.0019499802
7,chr1,1250600,1250617,17,+,7.83575515214284,0.00760387
8,chr1,1250600,1250617,17,-,9.44324036225276,0.00760387
9,chr1,1251218,1251235,17,+,7.50891670504167,0.011179358
10,chr1,1251218,1251235,17,-,7.48937369186895,0.011179358
11,chr1,1298361,1298378,17,+,7.48571196749284,0.0041843764
12,chr1,1321552,1321569,17,-,8.17028635650015,0.0099175675
13,chr1,1436949,1436966,17,+,8.12706273190469,0.004257373
14,chr1,1436949,1436966,17,-,8.06854749859772,0.004257373
15,chr1,1505899,1505916,17,+,8.69408015816926,0.013082321
16,chr1,1505899,1505916,17,-,10.0480933766805,0.013082321
17,chr1,1543374,1543391,17,+,8.03801053150895,0.00845487
18,chr1,1543374,1543391,17,-,9.8083932165224,0.00845487
19,chr1,1777676,1777693,17,+,11.2635492474794,0.0086817
20,chr1,1777676,1777693,17,-,10.5437088527551,0.0086817
21,chr1,2248639,2248656,17,+,7.68907310464755,0.004532366
22,chr1,2248639,2248656,17,-,8.20119715148905,0.004532366
23,chr1,2255707,2255724,17,+,7.18384079429393,0.006645805
24,chr1,2256071,2256088,17,+,7.57052705202137,0.007478671
25,chr1,2255707,2255724,17,-,8.83439860822929,0.006645805
26,chr1,2255841,2255858,17,-,7.36842107436697,0.008071873
27,chr1,2358136,2358153,17,+,8.42993031670052,0.0051427055
28,chr1,2358136,2358153,17,-,8.14265565356087,0.0051427055
29,chr1,2430247,2430264,17,+,9.48180981091684,0.0047234017
30,chr1,2430247,2430264,17,-,8.7984600715975,0.0047234017
31,chr1,2454191,2454208,17,+,8.30853218187541,0.002590083
32,chr1,2454191,2454208,17,-,8.9189363482813,0.002590083
33,chr1,2554892,2554909,17,+,10.8934683964621,0.0032785276
34,chr1,2554892,2554909,17,-,9.31873536550838,0.0032785276
35,chr1,2584124,2584141,17,+,10.9757903812261,0.0062113055
36,chr1,2584124,2584141,17,-,9.78318108320746,0.0062113055
37,chr1,2587293,2587310,17,+,7.28972543115311,0.0019398622
38,chr1,2587293,2587310,17,-,7.58365476645676,0.0019398622
39,chr1,2640382,2640399,17,+,10.2037086329298,0.0014801463
40,chr1,2640382,2640399,17,-,11.5925617406322,0.0014801463
41,chr1,2642460,2642477,17,+,8.46631537940882,0.0047671543
42,chr1,2979706,2979723,17,-,7.21100795594233,0.0057203835
43,chr1,3237749,3237766,17,+,8.50707710344839,0.0020050907
44,chr1,3352617,3352634,17,+,8.60837082831809,0.003621906
45,chr1,3352617,3352634,17,-,9.80594150510429,0.003621906
46,chr1,3368024,3368041,17,+,13.138941087938,0.007359452
47,chr1,3368024,3368041,17,-,11.5242500756711,0.007359452
48,chr1,3414026,3414043,17,+,7.4109501911816,0.0047953688
49,chr1,3480798,3480815,17,+,7.38815264073514,0.007333842
50,chr1,3481856,3481873,17,-,8.7474144192934,0.004873828
51,chr1,3669733,3669750,17,+,7.32156942784611,0.0028800427
52,chr1,4423185,4423202,17,-,7.58437608697631,0.009627638
53,chr1,5312201,5312218,17,+,8.2483755268141,0.013234971
54,chr1,5494686,5494703,17,+,10.1929708875445,0.0038348776
55,chr1,5494686,5494703,17,-,9.93633695827421,0.0038348776
56,chr1,5727361,5727378,17,-,7.94886715961263,0.010658538
57,chr1,5980229,5980246,17,-,7.47987496884001,0.006520622
58,chr1,6091305,6091322,17,+,7.23461191654162,0.0073978463
59,chr1,6091305,6091322,17,-,7.8490089589503,0.0073978463
60,chr1,6156803,6156820,17,+,7.59636035529608,0.005255468
61,chr1,6158084,6158101,17,+,9.32978749527935,0.0029048931
62,chr1,6158084,6158101,17,-,8.54248911663481,0.0029048931
63,chr1,6259751,6259768,17,+,11.9117896373384,0.0046499264
64,chr1,6259751,6259768,17,-,10.2883907956096,0.0046499264
65,chr1,6352856,6352873,17,+,9.021734230414,0.009420336
66,chr1,6352856,6352873,17,-,9.38334624157242,0.009420336
67,chr1,6394179,6394196,17,-,7.22240193881948,0.008223238
68,chr1,6470036,6470053,17,+,7.19337331212475,0.008968747
69,chr1,6771706,6771723,17,-,7.89113474703265,0.0069648596
70,chr1,7042302,7042319,17,+,10.2127390774079,0.0070194704
71,chr1,7042302,7042319,17,-,8.75779556434236,0.0070194704
72,chr1,7266484,7266501,17,+,7.1813016118519,0.009640538
73,chr1,7266484,7266501,17,-,8.00439238117437,0.009640538
74,chr1,7645847,7645864,17,+,7.42454301049968,0.006728965
75,chr1,7645847,7645864,17,-,8.4946469808108,0.006728965
76,chr1,7649056,7649073,17,+,8.98697517860669,0.0068265763
77,chr1,7649056,7649073,17,-,9.89525653625952,0.0068265763
78,chr1,7806998,7807015,17,+,9.63484087593489,0.0132303815
79,chr1,7806998,7807015,17,-,9.07210844109911,0.0132303815
80,chr1,8071073,8071090,17,+,7.74230086704385,0.0072260825
81,chr1,8071101,8071118,17,+,9.09715434263134,0.01234771
82,chr1,8071073,8071090,17,-,8.16590139759417,0.0072260825
83,chr1,8071101,8071118,17,-,9.56666523198186,0.01234771
84,chr1,8182646,8182663,17,-,9.03122826256399,0.011794918
85,chr1,8266845,8266862,17,-,7.30703166002975,0.0064970814
86,chr1,8347755,8347772,17,+,8.69011689578288,0.005385964
87,chr1,8347755,8347772,17,-,8.71044232891198,0.005385964
88,chr1,8392877,8392894,17,+,8.8382153817323,0.0052346415
89,chr1,8392877,8392894,17,-,8.89219236184585,0.0052346415
90,chr1,8666286,8666303,17,+,7.56725377766708,0.007815509
91,chr1,8739471,8739488,17,+,8.48770264085376,0.010213504
92,chr1,8739471,8739488,17,-,7.66351529593947,0.010213504
93,chr1,8856916,8856933,17,-,7.48990337924952,0.004270746
94,chr1,9024241,9024258,17,+,9.69229425124813,0.00717087
95,chr1,9024241,9024258,17,-,9.06720241046565,0.00717087
96,chr1,9024488,9024505,17,-,7.22790452228823,0.007791557
