,0,1,2,wt_count
0,chr1,966150,966650,2.8005104
1,chr1,1510910,1511385,2.7915092
2,chr1,1612008,1612508,2.1599422
3,chr1,2195062,2195340,3.113389
4,chr1,2275770,2276270,2.655437
5,chr1,6359672,6360103,2.3940597
6,chr1,7702297,7702797,2.5328727
7,chr1,8090299,8090799,2.2848403
8,chr1,8097313,8097813,2.8226762
9,chr1,9061093,9061593,2.2611783
10,chr1,9893386,9893886,2.4319167
11,chr1,9901541,9902041,2.6711721
12,chr1,10427957,10428432,2.7486267
13,chr1,10980868,10981368,2.2188041
14,chr1,15167959,15168459,2.402496
15,chr1,15197028,15197148,2.9022775
16,chr1,15218954,15219454,2.6935124
17,chr1,15833286,15833740,2.4685967
18,chr1,15849252,15849749,3.1141086
19,chr1,15953878,15954378,2.85076
20,chr1,16182966,16183466,2.8144336
21,chr1,16905271,16905771,2.7468266
22,chr1,18956521,18956961,4.2008123
23,chr1,20733522,20734022,2.4463868
24,chr1,22075897,22076262,2.4115171
25,chr1,23691456,23691952,2.9237452
26,chr1,25239540,25239688,3.1330624
27,chr1,25239798,25240041,3.3485487
28,chr1,25486738,25487238,2.5485816
29,chr1,25796490,25796990,2.592502
30,chr1,25818391,25818609,2.7663796
31,chr1,25821687,25822187,2.7498903
32,chr1,25872074,25872494,2.5654392
33,chr1,27785735,27786235,2.4874132
34,chr1,28078084,28078584,2.6083808
35,chr1,28675751,28676251,2.4631052
36,chr1,28785071,28785571,2.5626817
37,chr1,30088811,30089307,2.6297934
38,chr1,30841027,30841527,2.6371105
39,chr1,31259900,31260400,2.5091903
40,chr1,31811902,31812402,2.5097733
41,chr1,31857812,31858312,2.6179368
42,chr1,32028752,32029252,2.6306205
43,chr1,32761922,32762422,2.6573305
44,chr1,32830451,32830951,2.9249487
45,chr1,33233814,33234314,2.4697008
46,chr1,33376948,33377310,2.7092652
47,chr1,33379720,33380220,2.6810303
48,chr1,33397135,33397635,2.6432369
49,chr1,33433456,33433956,2.4062028
50,chr1,33460208,33460708,2.597849
51,chr1,33470586,33471086,3.0831385
52,chr1,35882918,35883409,3.2266884
53,chr1,36240266,36240428,2.3583825
