seqnames,start,end,width,strand,score,regulon_tf,count
chr1,1231073,1231083,10,-,9.35168349292012,GATA6,0.016522039
chr1,1233562,1233572,10,+,8.98808697076877,GATA6,0.017164666
chr1,1847203,1847213,10,+,9.04508628564702,GATA6,0.038518474
chr1,1883635,1883645,10,-,9.41096640654485,GATA6,0.04615321
chr1,1894558,1894568,10,-,9.46393174631694,GATA6,0.02487851
chr1,2251912,2251922,10,+,8.76806126726789,GATA6,0.062487036
chr1,2392381,2392391,10,+,8.91787217591979,GATA6,0.02191056
chr1,2585947,2585957,10,+,8.71316302182639,GATA6,0.011273439
chr1,3625769,3625779,10,+,8.91787217591979,GATA6,0.045036495
chr1,3831833,3831843,10,+,8.78337781667537,GATA6,0.012847525
chr1,4299074,4299084,10,+,9.46393174631694,GATA6,0.033936404
chr1,4345861,4345871,10,+,9.01015420452856,GATA6,0.0135908555
chr1,4778302,4778312,10,+,9.41096640654485,GATA6,0.057547916
chr1,5949537,5949547,10,-,9.66864090041034,GATA6,0.055561624
chr1,6198486,6198496,10,+,9.53729385993846,GATA6,0.023778573
chr1,6795900,6795910,10,-,9.35168349292012,GATA6,0.030740634
chr1,7093348,7093358,10,+,8.83401738139372,GATA6,0.019595062
chr1,7093397,7093407,10,+,9.1957645715469,GATA6,0.03572749
chr1,7326656,7326666,10,-,9.38748295128656,GATA6,0.062009927
chr1,7766882,7766892,10,-,9.11844839926854,GATA6,0.01676829
chr1,7852200,7852210,10,-,9.35168349292012,GATA6,0.016394172
chr1,8182124,8182134,10,+,9.1957645715469,GATA6,0.016687416
chr1,8182316,8182326,10,-,9.01015420452856,GATA6,0.028294016
chr1,8224958,8224968,10,-,9.66864090041034,GATA6,0.06810462
chr1,8424940,8424950,10,-,9.59527878678883,GATA6,0.021862296
chr1,8772420,8772430,10,-,8.9042321762427,GATA6,0.04540857
chr1,9111028,9111038,10,+,8.78741179178153,GATA6,0.03512675
chr1,9554108,9554118,10,-,9.27832137929861,GATA6,0.030446244
chr1,9555441,9555451,10,-,8.77691911087697,GATA6,0.04249503
chr1,10056614,10056624,10,-,9.26782869839405,GATA6,0.03932271
chr1,10117419,10117429,10,-,9.53729385993846,GATA6,0.022512754
chr1,10283478,10283488,10,+,9.53729385993846,GATA6,0.034149826
