,idxATAC,chr,start,end,idxRNA,target,distance,idxTF,tf,all,pval.all,pval.A9690,pval.ARV110,pval.DMSO,pval.Enza,stats.all,stats.A9690,stats.ARV110,stats.DMSO,stats.Enza,qval.all,qval.A9690,qval.ARV110,qval.DMSO,qval.Enza,weight.all,weight.A9690,weight.ARV110,weight.DMSO,weight.Enza
1,48,chr1,984075,984575,38,NOC2L,24620,1,AR,0.954091988600031,0.0513822272036284,0.00945472048875825,0.522760584429771,0.0310935897754168,0.88272248210054,3.79577025130952,6.73484956840128,0.408443495801465,4.64778803401292,0.0217618186742014,1,1,1,1,1,0.0342988746493734,0.100016226898478,-0.0126451828069915,0.0606993912759339,0.00739769640775314
2,178,chr1,1505441,1505941,82,VWA1,69719,1,AR,0.500414089661906,0.0157707204171461,0.000151860669899531,0.511194331314693,0.0680010589106133,0.535367207881093,5.82825935616623,14.3489958184754,0.431621586612538,3.33062428475591,0.384193949869662,1,0.0933943119882115,1,1,1,0.0412382491738356,0.119161910891434,-0.0141579590581468,0.0651568819038595,0.0183185222910382
3,2361,chr1,32316375,32316875,738,LCK,64937,1,AR,0.523204296047031,1.60912646211528e-05,0.688985474939122,0.0870800984963759,4.12685278703613e-05,0.156809423081929,18.6036443210283,0.160185841231218,2.92753980292292,16.8121364188446,2.00472795731924,0.010008766594357,1,1,0.0257515613911054,1,0.0649913040705745,-0.0132079971027945,0.0494850181373462,0.118430139404901,0.0427735486715456
4,4554,chr1,91021855,91022355,1475,ZNF644,81536,1,AR,0.750113555595294,0.00347328502270932,0.368332927000115,0.316222815822742,0.0130240325810411,0.151409515479631,8.54050894822018,0.809280938025649,1.00450526490257,6.16584256102699,2.05799262490176,1,1,1,1,1,0.0446523293209941,0.0209602855693707,0.0310028841946207,0.0772731801639301,0.0441787711795058
5,5042,chr1,109563165,109563665,1631,AMIGO1,53239,1,AR,0.6699499627932,0.0259905912299443,3.81254386291724e-07,0.0847259164466956,0.914538758690606,0.5200903968357,4.95664467236373,25.7869662262705,2.97183084513616,0.0115165975045128,0.413714045163865,1,0.000237521482659744,1,1,1,0.0406765134858259,0.161128468506388,0.0483696740287837,0.0213229782411865,0.0188108333066929
6,5799,chr1,151145682,151146182,1972,MLLT11,87725,1,AR,0.505590555576217,0.886117720700613,0.273282725849929,0.0485043764961885,0.198854132175906,0.214036520787569,0.0205115020548377,1.20019490848032,3.89242375288668,1.65077022203617,1.54391152158716,1,1,1,1,1,0.00313695167514851,0.0319522754644625,0.0553041136332254,-0.0277991724733306,-0.0263300015762999
7,5874,chr1,151885410,151885910,2003,OAZ3,122312,1,AR,0.600533151106627,0.0776524822740172,0.000217407676579672,0.995929934715094,0.0524295634294584,0.700776308601899,3.11336276398329,13.6743159732278,2.60211445302609e-05,3.76200852961237,0.147665540350078,1,0.133488313419919,1,1,1,0.023398239735432,0.12009559560819,-0.00262682681582701,0.0504256812772918,-0.0133331954133537
8,6039,chr1,154325239,154325739,2118,ATP8B2,0,1,AR,0.512073300478725,0.00952542913048695,0.632801842311036,2.33467024084162e-06,0.674398140185844,0.617458782907429,6.72155965952391,0.228280380407167,22.2978568600704,0.176500414895823,0.249455436046184,1,1,0.00145916890052601,1,1,0.0356500112701112,-0.0159796463261151,0.128661496243157,0.00982006443450241,-0.0142965639522017
9,6133,chr1,154970556,154971056,2141,ZBTB7B,29572,1,AR,0.525928755938047,0.536415163808095,0.0115015815416061,0.738214241999424,0.469108409193966,0.628288942134323,0.382224416897534,6.38612537583482,0.111702398097095,0.524075356742071,0.23438822807663,1,1,1,1,1,0.0150805329717237,0.0842883385404895,-0.00804084555641392,-0.0128457368922939,-0.000818973836114504
10,6167,chr1,155017392,155017892,2141,ZBTB7B,14563,1,AR,0.635777716437958,0.0869297750852471,0.00892932388304867,0.0813254461098429,0.683627546904499,0.88278365710819,2.93032901369329,6.83690851649827,3.0382120302532,0.166070953232003,0.0217389563442965,1,1,1,1,1,0.0311824569023655,0.101245409329936,0.0533796337948453,-0.0077805635638935,-0.00418620833326075
11,6186,chr1,155079636,155080136,2141,ZBTB7B,76807,1,AR,0.63787437788457,0.492277568775439,0.96658764102224,0.195536051537811,0.886284146032518,0.00215470299379358,0.471544313461064,0.00175464044216305,1.67540566702756,0.0204511855818838,9.41284795514061,1,1,1,1,1,0.00809154862634497,0.00219079367184953,-0.0379161496394624,-0.00831835194901048,0.0868734477953474
12,6204,chr1,155131375,155131875,2142,DCST2,97395,1,AR,0.500978449165469,0.00225953739585412,1,6.19348273774692e-18,0.780896163649431,0.881636205861367,9.32576684589307,0,74.4582337014154,0.0773681844586259,0.0221698269933504,1,1,3.87712019382957e-15,1,1,0.0433785898138057,0,0.233640215322903,-0.00752548287795901,-0.00421471408939807
13,7524,chr1,197865739,197866239,2712,AL365258.1,108221,1,AR,0.519692994580778,0.00990898599350471,0.750983213593359,0.0107201020425749,0.0378064264202461,0.464365664487841,6.6511857373073,0.100706696187924,6.51113569937738,4.31370995463445,0.53535140840411,1,1,1,1,1,0.0404606529099761,-0.00752395877349969,0.0767504288577235,0.0595799109385827,-0.0202474763134849
14,8771,chr1,228109158,228109658,3134,IBA57,54144,1,AR,0.610899566404236,0.0333865594006218,0.303614498763994,0.359647713273215,0.520587391449809,0.0136819354207386,4.52584627694199,1.05825070112204,0.839123001668368,0.412729437851599,6.07872667257035,1,1,1,1,1,0.0300487864524669,0.0339532351605852,0.0216851091696746,-0.017697607431886,0.0713493017938678
15,9703,chr2,5818904,5819404,18861,SILC1,111137,1,AR,0.520392913017255,0.0142618039334829,1,0.61640630541686,0.00619604266885676,0.615160070313876,6.00544409638602,0,0.250950912264482,7.49238537137649,0.252728936780176,1,1,1,1,1,0.0329079087559029,0,0.00995417615106196,0.0728065970332192,0.0138424652450566
16,9951,chr2,11536014,11536514,18941,E2F6,69654,1,AR,0.514881866898016,0.22306990623947,0.0268742033055685,0.82527950529603,0.511596077925957,0.383667365936429,1.48451202549961,4.89887463383885,0.0487348671633158,0.430801190555274,0.758917930015256,1,1,1,1,1,0.0177209891298132,0.0711103790572881,-0.00709007646101393,0.018685438723755,0.0259141038091294
17,10026,chr2,14554955,14555455,18960,LRATD1,75243,1,AR,0.557605362326138,0.0186123605931961,1,0.257730755614801,0.644728135807927,0.0576755227687232,5.53757463566165,0,1.28090542010535,0.212611572265291,3.60299655393731,1,1,1,1,1,0.0447375235498827,0,0.0483449384051614,0.0280177439290762,0.058039872991517
18,10121,chr2,17872893,17873393,18990,KCNS3,2452,1,AR,0.623441162777646,0.0464379802160814,0.924381366987699,0.680041465799536,0.0819179145886828,0.601181076884764,3.96563585646392,0.00900909025322848,0.170079159408011,3.02643320091494,0.273218235993439,1,1,1,1,1,0.0282919831659162,-0.0030165814663574,-0.0115515111654073,0.0482581222420858,-0.0149243358249344
19,10201,chr2,20127813,20128313,19012,SDC1,94781,1,AR,0.513312592187519,0.00225240419142842,0.708122199338432,0.729475138244975,0.108067518275971,0.384557693017121,9.33156083602851,0.140159801816085,0.119594100117758,2.5822563452253,0.756081191358502,1,1,1,1,1,0.050056729751688,-0.0128284152043652,0.0013930023947658,0.0448476757844464,0.0381152378485178
20,10448,chr2,26772337,26772837,19088,KCNK3,79448,1,AR,0.544264258920718,0.0103378610875462,0.681719650431171,0.0940076516777238,0.291440351199079,0.558248916190167,6.57572972702298,0.168196481776009,2.80437195003139,1.11295567738997,0.342745189824732,1,1,1,1,1,0.0395254221987523,-0.0131915099543341,0.0460135706127794,0.0288478158654046,0.0258061190967947
21,11188,chr2,46699353,46699853,19327,SOCS5,202,1,AR,0.622645664263546,0.000215000967277067,0.923075889250856,0.027816915816217,0.100823446603018,0.00215963613055802,13.6952204671633,0.00932381758127474,4.83937866504543,2.6924694841408,9.40865477196679,0.132225594875396,1,1,1,1,0.0631043346414403,0.0133719597151496,0.0750759954850589,0.0560252190492689,0.0899935139711073
22,11443,chr2,56239260,56239760,19401,AC007743.1,54139,1,AR,0.582438101009059,8.092516513149e-05,1,1,0.844077966258065,8.71372130376835e-12,15.5365542036682,0,0,0.0386830202969885,46.5982684986188,0.0499308268861293,1,1,1,5.44607581485522e-09,0.0476392287315433,0,0,-0.00651492355360076,0.19408702384283
