,0,1,2,3,4,5,6,7,8,9,wt_count
0,chr1,151458586,151458607,.,12.262,*,12.262,-1,-1,250,3.6193762
1,chr16,71564688,71565188,.,41.989,*,41.989,-1,-1,250,3.0082397
2,chr14,57268677,57269139,.,88.1305,*,88.1305,-1,-1,250,3.8241549
3,chr15,40160746,40161187,.,67.4094,*,67.4094,-1,-1,250,3.3745766
4,chr4,124964304,124964742,.,53.4713,*,53.4713,-1,-1,250,2.663476
5,chr13,39038094,39038309,.,47.6712,*,47.6712,-1,-1,250,2.9696708
6,chr9,114505289,114505789,.,61.3717,*,61.3717,-1,-1,250,3.586987
7,chr5,69369039,69369328,.,15.9444,*,15.9444,-1,-1,250,3.112421
8,chr2,38751219,38751656,.,40.1234,*,40.1234,-1,-1,250,3.8793778
9,chr12,110742766,110743187,.,57.3991,*,57.3991,-1,-1,250,3.5045388
10,chr2,171999667,172000163,.,61.3717,*,61.3717,-1,-1,250,3.410211
11,chr20,38748186,38748392,.,94.5034,*,94.5034,-1,-1,250,4.4168
12,chr1,3747182,3747680,.,90.2474,*,90.2474,-1,-1,250,3.287424
13,chr19,29212981,29213432,.,79.7405,*,79.7405,-1,-1,250,3.4930105
14,chr1,145765506,145766002,.,5.90541,*,5.90541,-1,-1,250,2.6788259
15,chr12,64610191,64610657,.,81.8264,*,81.8264,-1,-1,250,3.8278532
16,chr16,67431323,67431636,.,6.05878,*,6.05878,-1,-1,250,3.650317
17,chr15,75640075,75640534,.,107.44,*,107.44,-1,-1,250,3.8096867
18,chr9,613805,614279,.,6.05878,*,6.05878,-1,-1,250,2.9045
19,chr16,28824125,28824338,.,81.8264,*,81.8264,-1,-1,250,3.6285892
20,chr19,9785348,9785845,.,21.203,*,21.203,-1,-1,250,3.9249039
21,chr12,124369407,124369893,.,122.812,*,122.812,-1,-1,250,2.7547004
22,chr19,13731471,13731941,.,96.6421,*,96.6421,-1,-1,250,3.005587
23,chr2,74178718,74179154,.,45.7633,*,45.7633,-1,-1,250,3.6951604
24,chr1,180615488,180615928,.,81.8264,*,81.8264,-1,-1,250,2.528027
25,chr17,50560446,50560910,.,90.2474,*,90.2474,-1,-1,250,4.0847225
26,chr6,110528601,110528775,.,11.4046,*,11.4046,-1,-1,250,2.5822978
27,chr9,91423740,91424170,.,81.8264,*,81.8264,-1,-1,250,4.0532093
28,chrX,135098759,135099111,.,51.5255,*,51.5255,-1,-1,250,4.1272135
29,chr20,44652037,44652519,.,6.05878,*,6.05878,-1,-1,250,3.0788393
30,chr19,38362382,38362831,.,19.1267,*,19.1267,-1,-1,250,3.5226345
31,chr14,104752799,104752968,.,189.071,*,189.071,-1,-1,250,4.63788
32,chr12,118135833,118136312,.,98.7883,*,98.7883,-1,-1,250,3.3360586
33,chr22,45896459,45896949,.,15.9444,*,15.9444,-1,-1,250,2.6444514
34,chr14,37595877,37596195,.,49.592,*,49.592,-1,-1,250,3.5756176
35,chr22,21629844,21630299,.,86.0216,*,86.0216,-1,-1,250,3.6237392
36,chr1,197201263,197201697,.,65.3869,*,65.3869,-1,-1,250,3.5381317
37,chr10,50625080,50625529,.,49.592,*,49.592,-1,-1,250,3.4980993
38,chr16,53208222,53208648,.,20.7584,*,20.7584,-1,-1,250,2.6096313
39,chr20,10658713,10658850,.,14.3978,*,14.3978,-1,-1,250,2.2128487
40,chr12,1661803,1662294,.,49.592,*,49.592,-1,-1,250,4.154917
41,chr15,45167298,45167757,.,25.7999,*,25.7999,-1,-1,250,3.1215394
42,chr5,73498154,73498640,.,41.989,*,41.989,-1,-1,250,3.5912945
43,chr5,80487880,80488359,.,77.6631,*,77.6631,-1,-1,250,3.766439
44,chr1,112956059,112956524,.,81.8264,*,81.8264,-1,-1,250,3.9046364
45,chr14,54902613,54903109,.,59.3795,*,59.3795,-1,-1,250,4.001248
46,chr8,101278122,101278451,.,88.1305,*,88.1305,-1,-1,250,2.3370757
47,chr17,7280482,7280957,.,24.0967,*,24.0967,-1,-1,250,3.364439
48,chr11,94129252,94129752,.,25.7999,*,25.7999,-1,-1,250,3.5859222
49,chr15,59689237,59689679,.,83.9201,*,83.9201,-1,-1,250,3.6570148
50,chr12,65169231,65169719,.,100.941,*,100.941,-1,-1,250,3.8017216
51,chr19,3721402,3721875,.,98.7883,*,98.7883,-1,-1,250,2.9817722
52,chr1,40862227,40862675,.,113.995,*,113.995,-1,-1,250,3.9275725
53,chr6,27295211,27295676,.,22.4159,*,22.4159,-1,-1,250,2.6392224
54,chr7,156893319,156893512,.,100.941,*,100.941,-1,-1,250,3.7146158
55,chr10,17643675,17643880,.,38.2731,*,38.2731,-1,-1,250,2.9877663
56,chr10,50374374,50374649,.,15.9444,*,15.9444,-1,-1,250,2.6468108
57,chr1,12476004,12476479,.,15.9444,*,15.9444,-1,-1,250,2.4032898
58,chr9,126207201,126207686,.,27.5249,*,27.5249,-1,-1,250,2.2534542
59,chr17,7219648,7220130,.,51.5255,*,51.5255,-1,-1,250,3.0883114
60,chr3,155871518,155871776,.,15.9444,*,15.9444,-1,-1,250,3.4218163
61,chr19,52993794,52994041,.,15.9444,*,15.9444,-1,-1,250,3.5534668
62,chr9,107282786,107283274,.,94.5034,*,94.5034,-1,-1,250,3.7295187
63,chr19,35718491,35718988,.,14.3978,*,14.3978,-1,-1,250,3.1089067
64,chr3,10191992,10192448,.,49.592,*,49.592,-1,-1,250,2.4617598
65,chr22,20299667,20299840,.,61.3717,*,61.3717,-1,-1,250,4.0006766
