seqnames,start,end,width,strand,score,regulon_tf,bpnet_0.25_score
chr1,1231074,1231083,10,-,9.35168349292012,GATA6,0.015139627
chr1,1233563,1233572,10,+,8.98808697076877,GATA6,0.018598948
chr1,1847204,1847213,10,+,9.04508628564702,GATA6,0.03336658
chr1,1883636,1883645,10,-,9.41096640654485,GATA6,0.04589482
chr1,1894559,1894568,10,-,9.46393174631694,GATA6,0.025291046
chr1,2251913,2251922,10,+,8.76806126726789,GATA6,0.055165082
chr1,2392382,2392391,10,+,8.91787217591979,GATA6,0.013040757
chr1,2585948,2585957,10,+,8.71316302182639,GATA6,0.012100517
chr1,3625770,3625779,10,+,8.91787217591979,GATA6,0.044603247
chr1,3831834,3831843,10,+,8.78337781667537,GATA6,0.016985279
chr1,4299075,4299084,10,+,9.46393174631694,GATA6,0.032279555
chr1,4345862,4345871,10,+,9.01015420452856,GATA6,0.011861197
chr1,4778303,4778312,10,+,9.41096640654485,GATA6,0.05358103
chr1,5949538,5949547,10,-,9.66864090041034,GATA6,0.05140431
chr1,6198487,6198496,10,+,9.53729385993846,GATA6,0.022816513
chr1,6795901,6795910,10,-,9.35168349292012,GATA6,0.029586947
chr1,7093349,7093358,10,+,8.83401738139372,GATA6,0.019015184
chr1,7093398,7093407,10,+,9.1957645715469,GATA6,0.038442243
chr1,7326657,7326666,10,-,9.38748295128656,GATA6,0.05338309
chr1,7766883,7766892,10,-,9.11844839926854,GATA6,0.022060854
chr1,7852201,7852210,10,-,9.35168349292012,GATA6,0.015115973
chr1,8182125,8182134,10,+,9.1957645715469,GATA6,0.014845003
chr1,8182317,8182326,10,-,9.01015420452856,GATA6,0.030522501
chr1,8224959,8224968,10,-,9.66864090041034,GATA6,0.06477946
chr1,8424941,8424950,10,-,9.59527878678883,GATA6,0.020427695
chr1,8772421,8772430,10,-,8.9042321762427,GATA6,0.043898687
chr1,9111029,9111038,10,+,8.78741179178153,GATA6,0.03356515
chr1,9554109,9554118,10,-,9.27832137929861,GATA6,0.030536687
chr1,9555442,9555451,10,-,8.77691911087697,GATA6,0.043100435
chr1,10056615,10056624,10,-,9.26782869839405,GATA6,0.039762273
chr1,10117420,10117429,10,-,9.53729385993846,GATA6,0.024522342
chr1,10283479,10283488,10,+,9.53729385993846,GATA6,0.03534281
chr1,10398289,10398298,10,-,9.26782869839405,GATA6,0.026703974
chr1,10433608,10433617,10,+,9.35168349292012,GATA6,0.03513887
chr1,10507884,10507893,10,-,9.27832137929861,GATA6,0.030355237
chr1,10653031,10653040,10,+,8.83827606211687,GATA6,0.016080933
chr1,11152660,11152669,10,-,9.59527878678883,GATA6,0.048140023
chr1,11220132,11220141,10,-,8.98808697076877,GATA6,0.020132115
chr1,11272637,11272646,10,-,8.91472485714725,GATA6,0.020135278
chr1,11274014,11274023,10,+,9.04508628564702,GATA6,0.03422487
chr1,11394727,11394736,10,+,9.41096640654485,GATA6,0.017876277
chr1,11663426,11663435,10,-,8.71096299675114,GATA6,0.02181638
chr1,11746364,11746373,10,-,9.35168349292012,GATA6,0.02103921
chr1,12496634,12496643,10,+,8.98808697076877,GATA6,0.06796182
chr1,12517192,12517201,10,+,8.94419809040273,GATA6,0.035675664
chr1,12529579,12529588,10,+,9.27961936607297,GATA6,0.031385798
chr1,12531210,12531219,10,+,9.66864090041034,GATA6,0.040771447
chr1,12531228,12531237,10,+,9.41096640654485,GATA6,0.049964912
chr1,12531247,12531256,10,+,9.33760429292334,GATA6,0.03709749
chr1,13770108,13770117,10,-,8.9042321762427,GATA6,0.052770562
chr1,14236025,14236034,10,+,8.77691911087697,GATA6,0.015916318
chr1,14279638,14279647,10,-,9.09400899905463,GATA6,0.053948462
chr1,14929595,14929604,10,-,8.84451006229827,GATA6,0.03520113
chr1,15549219,15549228,10,-,9.35168349292012,GATA6,0.042442042
chr1,16120995,16121004,10,+,8.71096299675114,GATA6,0.011629893
chr1,16173354,16173363,10,-,9.1957645715469,GATA6,0.021633897
chr1,16337378,16337387,10,+,9.1957645715469,GATA6,0.026094556
chr1,16892940,16892949,10,+,9.20187258426822,GATA6,0.021478502
chr1,17059908,17059917,10,+,8.77691911087697,GATA6,0.018832048
chr1,17597241,17597250,10,-,9.32711161201878,GATA6,0.03459629
chr1,18464313,18464322,10,+,9.01015420452856,GATA6,0.017662583
chr1,18531154,18531163,10,+,9.27961936607297,GATA6,0.014999492
chr1,18641191,18641200,10,-,9.20625725245145,GATA6,0.022263514
chr1,19505039,19505048,10,+,9.58478610588427,GATA6,0.02621143
chr1,19975227,19975236,10,-,9.09400899905463,GATA6,0.037283104
chr1,19982095,19982104,10,-,9.66864090041034,GATA6,0.026533006
chr1,20388854,20388863,10,+,8.86077390540304,GATA6,0.041164774
chr1,20666767,20666776,10,+,8.78337781667537,GATA6,0.007928951
chr1,21252234,21252243,10,-,9.58478610588427,GATA6,0.035026316
chr1,21324770,21324779,10,-,8.7865251354479,GATA6,0.024305148
chr1,21368446,21368455,10,-,9.02064688543312,GATA6,0.01922702
chr1,21634441,21634450,10,-,9.27961936607297,GATA6,0.01662945
chr1,21638623,21638632,10,+,8.7865251354479,GATA6,0.019561164
chr1,22026014,22026023,10,+,8.91787217591979,GATA6,0.020143162
chr1,22075938,22075947,10,+,9.26782869839405,GATA6,0.02535821
chr1,23083854,23083863,10,-,9.02064688543312,GATA6,0.036031134
chr1,23528578,23528587,10,+,9.33760429292334,GATA6,0.014951532
chr1,23540035,23540044,10,+,9.27832137929861,GATA6,0.0257869
chr1,23576493,23576502,10,-,9.41096640654485,GATA6,0.027602602
chr1,23772487,23772496,10,+,9.41096640654485,GATA6,0.008946222
chr1,24019032,24019041,10,-,9.51882999175844,GATA6,0.044239927
chr1,24129275,24129284,10,+,9.58478610588427,GATA6,0.020027049
chr1,24161306,24161315,10,+,8.91787217591979,GATA6,0.033064984
chr1,24779969,24779978,10,+,8.94419809040273,GATA6,0.011031752
chr1,24932601,24932610,10,-,8.9042321762427,GATA6,0.032092895
chr1,25590472,25590481,10,-,9.27961936607297,GATA6,0.025047699
chr1,25610789,25610798,10,+,9.03459360474247,GATA6,0.022831818
chr1,25782955,25782964,10,+,8.71316302182639,GATA6,-0.010689787
chr1,26097998,26098007,10,+,9.02064688543312,GATA6,0.025341097
chr1,26408927,26408936,10,-,9.46393174631694,GATA6,0.031834595
chr1,26620776,26620785,10,-,9.27961936607297,GATA6,0.0065364996
chr1,26702721,26702730,10,-,9.46393174631694,GATA6,0.032719668
chr1,26719186,26719195,10,+,9.53729385993846,GATA6,0.02464188
chr1,27141866,27141875,10,-,9.46393174631694,GATA6,0.026938792
chr1,27144708,27144717,10,-,9.66864090041034,GATA6,0.040888924
chr1,27148225,27148234,10,-,9.41096640654485,GATA6,0.02231776
chr1,27542765,27542774,10,-,9.27832137929861,GATA6,0.014573393
chr1,27789749,27789758,10,-,9.45343906541239,GATA6,0.035498463
chr1,27965411,27965420,10,-,9.27961936607297,GATA6,0.06089874
chr1,27991388,27991397,10,-,8.98808697076877,GATA6,0.03390052
chr1,28086627,28086636,10,+,9.26782869839405,GATA6,0.008420864
chr1,28417722,28417731,10,-,9.66864090041034,GATA6,0.0252303
chr1,28885083,28885092,10,+,8.83827606211687,GATA6,0.038050402
chr1,29083879,29083888,10,+,8.83827606211687,GATA6,0.005174268
chr1,29683051,29683060,10,-,9.33760429292334,GATA6,0.03594742
chr1,30731381,30731390,10,-,9.35168349292012,GATA6,0.014164429
chr1,31258670,31258679,10,-,9.45343906541239,GATA6,0.03145235
chr1,31444938,31444947,10,-,8.77288513577081,GATA6,0.016194632
chr1,31549147,31549156,10,+,9.53729385993846,GATA6,0.023084985
chr1,31605229,31605238,10,+,8.7865251354479,GATA6,0.012426362
chr1,31769383,31769392,10,-,9.33760429292334,GATA6,0.013824057
chr1,31770287,31770296,10,-,9.41096640654485,GATA6,0.04642288
chr1,31912317,31912326,10,-,8.9042321762427,GATA6,0.06968195
chr1,32475280,32475289,10,-,9.46393174631694,GATA6,0.02377465
chr1,32600270,32600279,10,-,9.20625725245145,GATA6,0.065325975
chr1,32761797,32761806,10,-,8.98808697076877,GATA6,0.032859936
chr1,32934192,32934201,10,-,9.53729385993846,GATA6,0.082950324
chr1,32939949,32939958,10,-,8.83827606211687,GATA6,0.023050856
chr1,32989327,32989336,10,-,8.83401738139372,GATA6,0.015934665
chr1,33025474,33025483,10,+,9.41096640654485,GATA6,0.03265062
chr1,33127556,33127565,10,+,9.27961936607297,GATA6,0.01877791
chr1,33133941,33133950,10,+,9.01015420452856,GATA6,0.03614898
