,0,1,2,wt_count
0,chr1,7988538,7989038,2.9676101
1,chr1,11882824,11883324,3.3560104
2,chr1,15424031,15424531,3.219372
3,chr1,23920003,23920430,3.3046212
4,chr1,24143035,24143535,3.4101455
5,chr1,26862746,26863246,3.8008368
6,chr1,27817159,27817659,2.985552
7,chr1,28172679,28173179,3.2121553
8,chr1,28351520,28352020,3.6479456
9,chr1,28668158,28668552,3.8951917
10,chr1,28751308,28751808,3.6350815
11,chr1,31444679,31445179,4.031096
12,chr1,31498959,31499459,3.2805145
13,chr1,31548854,31549329,4.171076
14,chr1,32400801,32401301,3.5863183
15,chr1,32963983,32964110,4.1423535
16,chr1,37999450,37999950,3.4871771
17,chr1,39827086,39827586,3.6551294
18,chr1,39852171,39852657,3.0490565
19,chr1,42764232,42764732,3.225898
20,chr1,43523039,43523539,3.2990425
21,chr1,48043509,48044009,3.0504746
22,chr1,54028902,54029402,3.25592
23,chr1,54641122,54641622,3.0947382
24,chr1,55428952,55429452,3.5842862
25,chr1,56516841,56517328,3.7928681
26,chr1,61708869,61709369,3.3214514
27,chr1,61851585,61852085,3.429539
28,chr1,62279194,62279405,3.3910916
29,chr1,63480056,63480515,3.1082063
30,chr1,64172025,64172212,3.3798652
31,chr1,64172356,64172525,3.4299262
32,chr1,64915799,64916299,3.2963543
33,chr1,65763991,65764491,3.6217828
34,chr1,67571747,67572247,3.2748876
35,chr1,67749485,67749985,3.9352136
36,chr1,67771138,67771638,3.706512
37,chr1,74730028,74730528,3.849879
38,chr1,78101505,78102005,3.2219458
39,chr1,84020935,84021435,3.491981
40,chr1,85225888,85226388,3.4669044
41,chr1,85278776,85279276,3.45917
42,chr1,85328872,85329372,3.5238996
43,chr1,85339084,85339584,3.287933
44,chr1,86774224,86774724,3.5933123
45,chr1,86992722,86993222,3.1220293
46,chr1,86993240,86993740,3.2488039
47,chr1,92804721,92805221,3.2299047
48,chr1,92933423,92933923,3.046056
49,chr1,92949575,92950075,3.094689
50,chr1,93474197,93474697,3.3060806
51,chr1,93567365,93567865,3.7466383
52,chr1,93664570,93665070,3.5608263
53,chr1,94658134,94658277,3.3193333
54,chr1,107649466,107649966,3.2087708
55,chr1,109112602,109113087,4.191033
56,chr1,109855985,109856485,3.4704916
57,chr1,112700109,112700609,2.935705
58,chr1,115037073,115037573,3.354574
59,chr1,116097603,116098103,3.2180197
60,chr1,116931176,116931676,3.4816031
61,chr1,117179568,117180018,3.3919537
62,chr1,119428894,119429394,3.786858
63,chr1,145740139,145740639,3.1948516
64,chr1,145927306,145927788,4.5413966
65,chr1,145979317,145979817,3.6003199
66,chr1,150604649,150605149,3.1828933
67,chr1,150852186,150852686,3.171744
68,chr1,151165740,151166202,4.2962275
69,chr1,151596437,151596937,3.0680075
70,chr1,151611719,151612207,4.4871793
71,chr1,151763309,151763766,3.9887073
72,chr1,151988406,151988906,3.4929013
73,chr1,152162723,152163223,2.8336928
74,chr1,153515870,153516370,2.9976861
75,chr1,153566483,153566983,3.34193
76,chr1,155000339,155000839,3.8656604
77,chr1,155193458,155193901,4.363196
78,chr1,155570217,155570717,3.6555297
79,chr1,155911155,155911632,4.4011345
80,chr1,156130185,156130685,3.0967193
81,chr1,156572370,156572837,3.686124
82,chr1,156661219,156661719,3.256485
83,chr1,156892264,156892726,4.0306864
84,chr1,159916200,159916700,3.3318315
85,chr1,159960913,159961413,3.4377966
86,chr1,160813178,160813678,3.2774146
87,chr1,160997264,160997764,3.2630975
88,chr1,161117799,161118270,4.6942573
89,chr1,161133238,161133297,4.4341154
90,chr1,167082363,167082863,3.3325348
91,chr1,167082887,167083387,3.3795028
92,chr1,168861652,168861989,3.2276623
93,chr1,169675747,169676247,3.4982781
94,chr1,169794713,169795185,4.3056765
95,chr1,172443889,172444305,4.0996957
96,chr1,172976487,172976852,3.6977544
97,chr1,175269094,175269594,3.4196386
98,chr1,178031742,178032240,3.8975077
99,chr1,179930870,179931361,3.6180036
100,chr1,180117212,180117712,3.7059941
101,chr1,181112352,181112852,3.5241709
102,chr1,181127033,181127533,3.7838411
103,chr1,182688353,182688853,3.561895
104,chr1,183019308,183019540,3.477714
105,chr1,183037051,183037551,2.980946
106,chr1,183636184,183636684,4.456731
107,chr1,183640119,183640619,2.8001869
108,chr1,183736399,183736899,3.2059927
109,chr1,186848410,186848910,3.2643974
110,chr1,186943763,186944263,3.702641
111,chr1,197146501,197147001,4.967483
112,chr1,200483421,200483921,3.4871843
113,chr1,200620574,200621066,4.3220024
114,chr1,202017656,202018118,3.183217
115,chr1,202034732,202035232,3.365876
116,chr1,202746324,202746824,3.1328993
117,chr1,203153929,203154429,3.2059789
118,chr1,203306174,203306195,3.5308464
119,chr1,204084353,204084720,3.0202744
120,chr1,204383164,204383664,3.204174
121,chr1,204417017,204417479,3.6688492
122,chr1,204417547,204418047,3.607451
123,chr1,204425828,204426328,3.4079661
124,chr1,204510909,204511409,3.1874516
125,chr1,204565692,204566192,4.1905317
126,chr1,204859818,204860318,3.0496953
127,chr1,204924157,204924657,3.004106
128,chr1,205889683,205890183,3.0339756
129,chr1,205961829,205962329,3.2285612
130,chr1,206941698,206942198,3.1092196
131,chr1,207232611,207233111,4.033216
132,chr1,207321496,207321908,4.33682
133,chr1,208132152,208132652,3.6379175
134,chr1,209827639,209828124,4.4749303
135,chr1,210001777,210002277,3.28903
136,chr1,211603340,211603795,3.182583
137,chr1,211832579,211833079,3.2230334
138,chr1,212219620,212220120,3.1472518
139,chr1,212261401,212261901,3.1403666
140,chr1,212596157,212596657,3.4440002
141,chr1,214516600,214517051,3.3160293
142,chr1,214552231,214552731,3.994772
143,chr1,219271423,219271923,3.6518595
144,chr1,221839785,221840285,3.7358084
145,chr1,221850408,221850908,3.2219167
146,chr1,222589652,222590146,4.5499144
147,chr1,223740131,223740631,3.815896
148,chr1,223814971,223815471,3.0372121
149,chr1,224113818,224114313,3.8003979
150,chr1,224213487,224213987,3.4302087
151,chr1,225627269,225627769,3.43742
152,chr1,225642764,225643264,3.4179645
153,chr1,230576021,230576521,3.1430953
154,chr1,230979221,230979721,3.9300992
155,chr1,231393577,231394077,3.4401476
156,chr1,231396587,231397087,3.4353368
157,chr1,246327022,246327522,3.084114
158,chr10,3197327,3197820,4.176704
159,chr10,4981966,4982466,3.4644465
160,chr10,5020184,5020684,3.3413172
161,chr10,5071667,5072167,3.8831396
162,chr10,11898113,11898613,3.5800493
163,chr10,15141664,15142164,3.2904956
164,chr10,15200607,15201107,3.3247123
165,chr10,22616044,22616544,3.4527333
166,chr10,28253969,28254469,3.2374816
167,chr10,28254471,28254971,3.4918103
168,chr10,28569490,28569990,3.1575472
169,chr10,28687066,28687566,3.0528932
170,chr10,31940716,31941216,3.1927695
171,chr10,32059402,32059902,3.0128732
172,chr10,32139191,32139691,3.7629576
173,chr10,32243254,32243754,2.7225246
174,chr10,34252091,34252591,3.5198097
175,chr10,34405740,34406240,3.601225
176,chr10,37732620,37733120,3.1545768
177,chr10,47406743,47407243,3.2998238
178,chr10,52884205,52884346,3.8785071
179,chr10,59895589,59896089,3.8693182
180,chr10,59965322,59965743,3.4661188
181,chr10,60175352,60175852,3.4181623
182,chr10,68153572,68154023,4.096987
183,chr10,68599858,68600327,3.4758792
184,chr10,69213622,69214122,3.156918
185,chr10,69217080,69217580,3.6978
186,chr10,69314955,69315455,3.1921027
187,chr10,70896271,70896771,3.004069
188,chr10,71338926,71339426,2.822051
189,chr10,73741793,73742293,3.216904
190,chr10,73966118,73966618,3.199724
191,chr10,75225447,75225947,3.0763462
192,chr10,84308828,84309328,3.2724156
193,chr10,90921126,90921626,3.0991778
194,chr10,92806460,92806960,2.8117309
