seqnames,start,end,width,strand,score,regulon_tf,count
chr1,858937,858947,10,+,7.95238064139338,NKX2-1,0.0033381097
chr1,859002,859012,10,-,7.74637654154324,NKX2-1,0.09683201
chr1,1001842,1001852,10,+,8.70615917185368,NKX2-1,0.007590162
chr1,1053821,1053831,10,-,7.81949520489078,NKX2-1,0.0027583367
chr1,1241214,1241224,10,-,8.64677337520754,NKX2-1,0.0028504282
chr1,1282160,1282170,10,+,8.54164705505991,NKX2-1,0.0075810715
chr1,1374411,1374421,10,+,7.95238064139338,NKX2-1,-0.0015918413
chr1,1408046,1408056,10,+,7.74936591572221,NKX2-1,0.0039589857
chr1,1577296,1577306,10,-,8.51388793870494,NKX2-1,0.037829027
chr1,1612099,1612109,10,-,8.12248223661888,NKX2-1,0.012328176
chr1,1612262,1612272,10,-,7.98400732168455,NKX2-1,0.04443807
chr1,1693231,1693241,10,+,7.90664011789189,NKX2-1,0.0116343275
chr1,1692939,1692949,10,-,8.11875094766939,NKX2-1,0.016146535
chr1,1781664,1781674,10,-,7.98400732168455,NKX2-1,0.0046346756
chr1,2195455,2195465,10,-,7.81949520489078,NKX2-1,0.012619379
chr1,2258600,2258610,10,-,7.95238064139338,NKX2-1,0.005945328
chr1,2547265,2547275,10,-,7.98400732168455,NKX2-1,-0.004968859
chr1,3133679,3133689,10,-,7.98400732168455,NKX2-1,0.03550031
chr1,3675356,3675366,10,+,7.87888100153692,NKX2-1,0.015334268
chr1,3713235,3713245,10,-,7.95238064139338,NKX2-1,0.020014266
chr1,3856442,3856452,10,-,7.8065852726098,NKX2-1,0.04260538
chr1,4653735,4653745,10,-,8.11875094766939,NKX2-1,0.001860571
chr1,4674437,4674447,10,-,8.05937788768344,NKX2-1,0.029320788
chr1,4734672,4734682,10,-,7.81949520489078,NKX2-1,0.012539475
chr1,4777953,4777963,10,+,7.87888100153692,NKX2-1,0.026850333
chr1,5651947,5651957,10,-,8.01363736418196,NKX2-1,0.05235707
chr1,5986177,5986187,10,+,8.01735591647126,NKX2-1,0.057925742
chr1,6235254,6235264,10,+,8.30528373460203,NKX2-1,0.010459777
chr1,6259918,6259928,10,+,8.11875094766939,NKX2-1,0.031561196
chr1,6259961,6259971,10,+,8.11875094766939,NKX2-1,0.03149551
chr1,6584283,6584293,10,-,7.98400732168455,NKX2-1,0.0023924205
chr1,6595329,6595339,10,-,7.8065852726098,NKX2-1,0.034997087
chr1,6926026,6926036,10,+,8.14652280068455,NKX2-1,0.027847959
chr1,7647581,7647591,10,-,7.92462152503841,NKX2-1,0.001290486
chr1,7705342,7705352,10,-,7.81949520489078,NKX2-1,-0.0016210028
chr1,7705446,7705456,10,-,7.92462152503841,NKX2-1,-0.0064991256
chr1,7976229,7976239,10,-,8.30528373460203,NKX2-1,0.050545372
chr1,8022405,8022415,10,+,8.08713700403841,NKX2-1,0.02176825
chr1,8077390,8077400,10,+,7.87888100153692,NKX2-1,0.018987564
chr1,8167263,8167273,10,-,7.87888100153692,NKX2-1,0.060229477
chr1,8224870,8224880,10,+,7.74719947596366,NKX2-1,0.007497927
chr1,8312171,8312181,10,-,7.74564736343291,NKX2-1,0.047022343
chr1,8343468,8343478,10,-,8.15024135297385,NKX2-1,0.013692734
chr1,8373666,8373676,10,-,7.95238064139338,NKX2-1,0.013117916
chr1,8484191,8484201,10,+,8.16449147117088,NKX2-1,0.017453099
chr1,8620205,8620215,10,+,8.51388793870494,NKX2-1,0.08078153
chr1,8630353,8630363,10,+,7.76361603391923,NKX2-1,0.048081703
chr1,8661932,8661942,10,-,7.74719947596366,NKX2-1,0.03024824
chr1,8705254,8705264,10,+,8.03160603466829,NKX2-1,0.028783124
chr1,8879445,8879455,10,-,8.05936515102325,NKX2-1,0.014600792
chr1,9303309,9303319,10,+,8.09099183131443,NKX2-1,0.04654131
chr1,9837612,9837622,10,+,7.84725432124575,NKX2-1,0.007945864
chr1,10258158,10258168,10,+,7.77882615625483,NKX2-1,0.04784262
chr1,10438744,10438754,10,-,7.98400732168455,NKX2-1,0.034400083
chr1,10780305,10780315,10,+,8.01363736418196,NKX2-1,0.006758764
chr1,11282172,11282182,10,-,7.98400732168455,NKX2-1,0.06993055
chr1,11484193,11484203,10,+,8.61901425885257,NKX2-1,0.034356922
chr1,11762381,11762391,10,-,7.77882615625483,NKX2-1,0.0032598223
chr1,11804409,11804419,10,+,7.95238064139338,NKX2-1,-0.0015881986
chr1,11804560,11804570,10,+,7.82300183056537,NKX2-1,0.06312734
chr1,11923920,11923930,10,-,7.74719947596366,NKX2-1,0.015677003
chr1,11929768,11929778,10,-,8.70615917185368,NKX2-1,0.024664992
chr1,12125137,12125147,10,+,8.14652280068455,NKX2-1,0.064091966
chr1,12166860,12166870,10,-,7.92462152503841,NKX2-1,-0.005133154
chr1,12282885,12282895,10,+,7.81949520489078,NKX2-1,0.04997453
chr1,12454851,12454861,10,+,8.11875094766939,NKX2-1,0.063277476
chr1,12475664,12475674,10,+,7.98400732168455,NKX2-1,0.016293779
chr1,12476677,12476687,10,-,8.67840005549871,NKX2-1,0.056925032
chr1,12496499,12496509,10,-,8.01176643803952,NKX2-1,0.035669304
chr1,12706130,12706140,10,+,7.81949520489078,NKX2-1,0.069610685
chr1,13601310,13601320,10,+,8.57327373535108,NKX2-1,0.055636313
chr1,13756224,13756234,10,+,7.95238064139338,NKX2-1,-0.010312552
chr1,13771330,13771340,10,-,8.11875094766939,NKX2-1,0.07677186
chr1,13828818,13828828,10,+,8.01176643803952,NKX2-1,0.0010414582
chr1,14081694,14081704,10,+,8.08713700403841,NKX2-1,0.04768891
chr1,14096665,14096675,10,+,8.04511503282623,NKX2-1,0.09415912
chr1,14313509,14313519,10,+,8.09099183131443,NKX2-1,0.0709177
chr1,15833511,15833521,10,+,7.74719947596366,NKX2-1,0.0029085802
chr1,15976044,15976054,10,+,7.84725432124575,NKX2-1,0.0042907204
chr1,16032990,16033000,10,-,8.51388793870494,NKX2-1,0.016073292
chr1,16378160,16378170,10,+,8.05936515102325,NKX2-1,0.053716514
chr1,18100936,18100946,10,+,7.77882615625483,NKX2-1,0.017200746
chr1,18669138,18669148,10,-,8.01176643803952,NKX2-1,0.035464555
chr1,19203659,19203669,10,+,7.74936591572221,NKX2-1,0.07259784
chr1,19203879,19203889,10,+,8.16449147117088,NKX2-1,0.03008428
chr1,19313054,19313064,10,-,7.98201068389079,NKX2-1,0.027966162
chr1,19341801,19341811,10,+,7.8065852726098,NKX2-1,0.010826362
chr1,19354770,19354780,10,-,7.92462152503841,NKX2-1,0.018387778
chr1,19452605,19452615,10,+,8.61901425885257,NKX2-1,0.0023946222
chr1,20187342,20187352,10,-,7.95425156753582,NKX2-1,0.027017878
chr1,20250583,20250593,10,+,7.76361603391923,NKX2-1,0.020967465
chr1,20341472,20341482,10,+,7.82300183056537,NKX2-1,0.014172158
chr1,21622447,21622457,10,+,7.90664011789189,NKX2-1,0.0071080346
chr1,21761320,21761330,10,-,7.87888100153692,NKX2-1,0.058602
chr1,23122228,23122238,10,+,8.67840005549871,NKX2-1,0.053184472
chr1,23340283,23340293,10,+,8.14652280068455,NKX2-1,0.06485377
chr1,23367680,23367690,10,-,7.77882615625483,NKX2-1,0.025132902
chr1,23800778,23800788,10,-,8.22387726781702,NKX2-1,0.008000339
chr1,24216290,24216300,10,+,8.14077161780827,NKX2-1,0.046093963
chr1,24746583,24746593,10,+,8.09099183131443,NKX2-1,0.0472879
chr1,24780104,24780114,10,+,8.14652280068455,NKX2-1,0.034839652
chr1,25103428,25103438,10,-,8.01176643803952,NKX2-1,0.017732155
chr1,25233391,25233401,10,-,8.61901425885257,NKX2-1,0.024096426
chr1,25478658,25478668,10,-,8.08713700403841,NKX2-1,0.021369644
chr1,25486895,25486905,10,+,8.22387726781702,NKX2-1,0.100224376
chr1,25822093,25822103,10,+,8.08713700403841,NKX2-1,0.03455452
chr1,25823305,25823315,10,+,7.90664011789189,NKX2-1,0.015689334
chr1,25842196,25842206,10,+,7.81949520489078,NKX2-1,0.08258818
chr1,25842257,25842267,10,-,8.13673235481591,NKX2-1,0.03691064
chr1,26391570,26391580,10,+,8.05936515102325,NKX2-1,0.0064727124
chr1,26417111,26417121,10,+,7.74936591572221,NKX2-1,0.018689591
chr1,26725950,26725960,10,-,8.19611815146205,NKX2-1,0.012833432
chr1,26728806,26728816,10,-,7.84725432124575,NKX2-1,0.03565633
chr1,26960543,26960553,10,-,8.09085555632771,NKX2-1,0.003485908
chr1,27044858,27044868,10,+,7.87888100153692,NKX2-1,0.017896382
chr1,27144447,27144457,10,+,8.19611815146205,NKX2-1,0.02073736
chr1,27279952,27279962,10,+,8.13673235481591,NKX2-1,0.05743981
chr1,27365681,27365691,10,+,8.01363736418196,NKX2-1,0.017403139
chr1,27451509,27451519,10,+,8.14652280068455,NKX2-1,0.012026785
chr1,27568381,27568391,10,+,7.95238064139338,NKX2-1,0.01767818
chr1,27817499,27817509,10,+,7.98201068389079,NKX2-1,0.05316612
chr1,27817574,27817584,10,+,7.95238064139338,NKX2-1,0.0290779
chr1,27934952,27934962,10,+,7.77882615625483,NKX2-1,0.008035727
chr1,28075349,28075359,10,+,8.64677337520754,NKX2-1,0.06104692
chr1,28078173,28078183,10,+,7.77882615625483,NKX2-1,0.041311685
chr1,28091012,28091022,10,-,7.95238064139338,NKX2-1,0.027541492
chr1,28643247,28643257,10,-,7.95425156753582,NKX2-1,0.0132338
chr1,28648900,28648910,10,+,8.70615917185368,NKX2-1,0.012889495
chr1,28670211,28670221,10,-,7.92462152503841,NKX2-1,-0.0064905533
chr1,28882109,28882119,10,-,7.74719947596366,NKX2-1,0.012712584
chr1,28891492,28891502,10,+,8.01363736418196,NKX2-1,0.03698551
chr1,28961334,28961344,10,-,8.14652280068455,NKX2-1,0.07583572
chr1,29083788,29083798,10,+,8.11875094766939,NKX2-1,0.025083413
chr1,29197685,29197695,10,-,8.60103285170605,NKX2-1,0.057108052
chr1,29691565,29691575,10,+,8.08713700403841,NKX2-1,0.011968697
chr1,29691607,29691617,10,-,7.81949520489078,NKX2-1,0.04917991
chr1,30841148,30841158,10,-,7.74637654154324,NKX2-1,0.029587602
chr1,31185604,31185614,10,+,8.03160603466829,NKX2-1,0.025000406
chr1,31511511,31511521,10,+,8.05937788768344,NKX2-1,0.029811759
chr1,31605637,31605647,10,-,8.14077161780827,NKX2-1,0.030705951
chr1,31830641,31830651,10,+,8.05937788768344,NKX2-1,0.02695823
chr1,31962764,31962774,10,-,8.20015741445441,NKX2-1,0.04510874
chr1,31991366,31991376,10,+,8.04139648053693,NKX2-1,0.055925153
chr1,32029104,32029114,10,+,8.16449147117088,NKX2-1,0.05741038
chr1,32334188,32334198,10,+,8.14077161780827,NKX2-1,0.00684423
chr1,32496555,32496565,10,-,8.19611815146205,NKX2-1,0.036068223
chr1,32574765,32574775,10,-,7.74936591572221,NKX2-1,0.04856304
chr1,32600288,32600298,10,+,8.04511503282623,NKX2-1,0.07902933
chr1,32773729,32773739,10,+,8.01176643803952,NKX2-1,0.009481069
chr1,32936060,32936070,10,-,7.74637654154324,NKX2-1,0.04305051
chr1,33025146,33025156,10,+,7.95238064139338,NKX2-1,0.003321803
chr1,33186332,33186342,10,-,8.01176643803952,NKX2-1,0.0990882
chr1,33472364,33472374,10,-,7.98572923618009,NKX2-1,0.04142109
chr1,33974480,33974490,10,-,8.14652280068455,NKX2-1,0.038932785
chr1,34781454,34781464,10,+,8.04139648053693,NKX2-1,0.010766128
chr1,34786856,34786866,10,+,7.74719947596366,NKX2-1,0.019180095
chr1,35262121,35262131,10,-,7.92462152503841,NKX2-1,0.00081192807
chr1,35268553,35268563,10,-,8.05937788768344,NKX2-1,-0.0016807818
chr1,35269381,35269391,10,-,7.8065852726098,NKX2-1,0.040522348
chr1,35642175,35642185,10,+,7.95238064139338,NKX2-1,-0.004863363
chr1,36017153,36017163,10,+,7.82300183056537,NKX2-1,0.11591491
chr1,36134285,36134295,10,+,8.70615917185368,NKX2-1,0.013126804
chr1,36149062,36149072,10,-,8.01363736418196,NKX2-1,0.025746744
chr1,36232686,36232696,10,-,8.01176643803952,NKX2-1,0.070981614
chr1,36280725,36280735,10,+,8.22387726781702,NKX2-1,0.05035054
chr1,36297196,36297206,10,-,8.60103285170605,NKX2-1,0.14076737
chr1,36487283,36487293,10,-,7.98572923618009,NKX2-1,0.037305087
chr1,36512191,36512201,10,-,7.84725432124575,NKX2-1,0.010079409
chr1,36924279,36924289,10,-,7.81949520489078,NKX2-1,0.008567512
chr1,36993199,36993209,10,+,7.95238064139338,NKX2-1,0.042286303
chr1,37038413,37038423,10,-,8.54164705505991,NKX2-1,0.051112205
chr1,37477828,37477838,10,+,7.84725432124575,NKX2-1,0.00416953
chr1,37495859,37495869,10,-,7.98400732168455,NKX2-1,0.031597413
chr1,37499207,37499217,10,-,8.60103285170605,NKX2-1,0.05755986
chr1,37595662,37595672,10,+,7.95797011982512,NKX2-1,0.011797053
chr1,37795708,37795718,10,-,7.87888100153692,NKX2-1,0.014237599
chr1,37809195,37809205,10,-,7.81949520489078,NKX2-1,0.04176122
chr1,38778088,38778098,10,+,7.74637654154324,NKX2-1,0.07500903
chr1,38778209,38778219,10,-,7.90664011789189,NKX2-1,0.026524683
chr1,38863112,38863122,10,+,8.05936515102325,NKX2-1,0.026832858
chr1,39076505,39076515,10,-,8.11875094766939,NKX2-1,0.03711623
chr1,39116111,39116121,10,-,8.22387726781702,NKX2-1,0.05428237
chr1,39201403,39201413,10,-,7.81949520489078,NKX2-1,0.01832013
chr1,39214207,39214217,10,-,8.13673235481591,NKX2-1,0.005050112
chr1,39249102,39249112,10,+,8.01363736418196,NKX2-1,0.07085972
chr1,39268062,39268072,10,+,7.82300183056537,NKX2-1,0.0038505867
chr1,39321091,39321101,10,+,8.16449147117088,NKX2-1,0.071318306
chr1,39410897,39410907,10,-,7.77882615625483,NKX2-1,0.028992835
chr1,39481600,39481610,10,+,8.04511503282623,NKX2-1,0.035352036
chr1,39662151,39662161,10,+,7.98400732168455,NKX2-1,0.035734784
chr1,39702070,39702080,10,-,8.03160603466829,NKX2-1,0.056154523
chr1,39800033,39800043,10,+,7.95425156753582,NKX2-1,0.021501893
chr1,39836256,39836266,10,+,8.08713700403841,NKX2-1,0.013505989
chr1,39892518,39892528,10,+,8.11876368432958,NKX2-1,0.0028536937
chr1,39947208,39947218,10,-,8.14077161780827,NKX2-1,0.049209487
chr1,40140276,40140286,10,+,7.92462152503841,NKX2-1,0.00633838
chr1,40141459,40141469,10,-,8.05937788768344,NKX2-1,0.017429702
chr1,40272597,40272607,10,-,8.19611815146205,NKX2-1,0.0494958
chr1,40697512,40697522,10,-,8.05937788768344,NKX2-1,0.023976132
chr1,40712724,40712734,10,-,7.84725432124575,NKX2-1,0.016541604
chr1,40855993,40856003,10,+,8.04139648053693,NKX2-1,0.03628526
chr1,41004392,41004402,10,-,8.64677337520754,NKX2-1,0.034489922
chr1,41273118,41273128,10,+,8.03160603466829,NKX2-1,0.02636019
chr1,41280840,41280850,10,+,8.09099183131443,NKX2-1,0.0383695
chr1,41372179,41372189,10,-,8.16449147117088,NKX2-1,0.0555481
chr1,41439903,41439913,10,-,7.76361603391923,NKX2-1,0.050749306
chr1,41821416,41821426,10,+,8.06309643997274,NKX2-1,0.026168728
