seqnames,start,end,width,strand,score,regulon_tf,count
chr1,1231073,1231083,10,-,9.35168349292012,GATA6,0.00518403
chr1,1233562,1233572,10,+,8.98808697076877,GATA6,-0.006192839
chr1,1847203,1847213,10,+,9.04508628564702,GATA6,0.22497332
chr1,1883635,1883645,10,-,9.41096640654485,GATA6,0.11209874
chr1,1894558,1894568,10,-,9.46393174631694,GATA6,-0.033615988
chr1,2251912,2251922,10,+,8.76806126726789,GATA6,0.2664958
chr1,2392381,2392391,10,+,8.91787217591979,GATA6,0.03386943
chr1,2585947,2585957,10,+,8.71316302182639,GATA6,0.021159887
chr1,3625769,3625779,10,+,8.91787217591979,GATA6,0.034131873
chr1,3831833,3831843,10,+,8.78337781667537,GATA6,0.12640914
chr1,4299074,4299084,10,+,9.46393174631694,GATA6,0.061712828
chr1,4345861,4345871,10,+,9.01015420452856,GATA6,-0.017019898
chr1,4778302,4778312,10,+,9.41096640654485,GATA6,0.040029548
chr1,5949537,5949547,10,-,9.66864090041034,GATA6,0.17807385
chr1,6198486,6198496,10,+,9.53729385993846,GATA6,0.024731766
chr1,6795900,6795910,10,-,9.35168349292012,GATA6,0.16903406
chr1,7093348,7093358,10,+,8.83401738139372,GATA6,-0.0008986606
chr1,7093397,7093407,10,+,9.1957645715469,GATA6,0.017942715
chr1,7326656,7326666,10,-,9.38748295128656,GATA6,0.16863513
chr1,7766882,7766892,10,-,9.11844839926854,GATA6,0.13918681
chr1,7852200,7852210,10,-,9.35168349292012,GATA6,0.10012099
chr1,8182124,8182134,10,+,9.1957645715469,GATA6,0.015573151
chr1,8182316,8182326,10,-,9.01015420452856,GATA6,0.163193
chr1,8224958,8224968,10,-,9.66864090041034,GATA6,0.16095516
chr1,8424940,8424950,10,-,9.59527878678883,GATA6,0.12138936
chr1,8772420,8772430,10,-,8.9042321762427,GATA6,0.18731132
chr1,9111028,9111038,10,+,8.78741179178153,GATA6,-0.012329886
chr1,9554108,9554118,10,-,9.27832137929861,GATA6,0.049296584
chr1,9555441,9555451,10,-,8.77691911087697,GATA6,0.054647535
chr1,10056614,10056624,10,-,9.26782869839405,GATA6,0.030563142
chr1,10117419,10117429,10,-,9.53729385993846,GATA6,0.13198087
chr1,10283478,10283488,10,+,9.53729385993846,GATA6,0.23762682
chr1,10398288,10398298,10,-,9.26782869839405,GATA6,0.033635587
chr1,10433607,10433617,10,+,9.35168349292012,GATA6,0.15502389
chr1,10507883,10507893,10,-,9.27832137929861,GATA6,0.099432886
chr1,10653030,10653040,10,+,8.83827606211687,GATA6,-0.01251662
chr1,11152659,11152669,10,-,9.59527878678883,GATA6,0.021668077
chr1,11220131,11220141,10,-,8.98808697076877,GATA6,0.07145989
chr1,11272636,11272646,10,-,8.91472485714725,GATA6,0.027478509
chr1,11274013,11274023,10,+,9.04508628564702,GATA6,-0.006806793
chr1,11394726,11394736,10,+,9.41096640654485,GATA6,0.1416558
