,0,1,2,3,4,5,6,7,8,9,wt_count
0,chr4,25814204,25814705,.,29.2702,*,29.2702,-1,-1,250,3.5640082
1,chr13,100088520,100089021,.,29.2702,*,29.2702,-1,-1,250,4.1375613
2,chr20,45705151,45705652,.,9.96289,*,9.96289,-1,-1,250,3.1364708
3,chr7,21869717,21870218,.,6.05878,*,6.05878,-1,-1,250,3.7083912
4,chr4,25368207,25368708,.,40.1234,*,40.1234,-1,-1,250,3.4755402
5,chr10,80455076,80455577,.,9.96289,*,9.96289,-1,-1,250,3.2979214
6,chr4,148953966,148954467,.,4.1612,*,4.1612,-1,-1,250,3.556097
7,chr14,80987368,80987869,.,8.06111,*,8.06111,-1,-1,250,3.903654
8,chr11,64245633,64246134,.,19.1267,*,19.1267,-1,-1,250,3.414304
9,chr11,101914734,101915235,.,57.3991,*,57.3991,-1,-1,250,4.3129296
10,chr8,46962352,46962853,.,51.5255,*,51.5255,-1,-1,250,2.9013445
11,chr3,175150705,175151206,.,27.5249,*,27.5249,-1,-1,250,3.3489254
12,chr10,4541201,4541702,.,14.3978,*,14.3978,-1,-1,250,3.0692184
13,chr5,127479485,127479986,.,4.1612,*,4.1612,-1,-1,250,2.8233027
14,chr8,115668777,115669278,.,57.3991,*,57.3991,-1,-1,250,4.3948646
15,chr2,200939256,200939757,.,27.5249,*,27.5249,-1,-1,250,3.616612
16,chr3,43690133,43690634,.,9.96289,*,9.96289,-1,-1,250,4.558999
17,chr5,136249630,136250131,.,14.3978,*,14.3978,-1,-1,250,3.5348346
18,chr15,42268805,42269306,.,24.0967,*,24.0967,-1,-1,250,3.0239136
19,chr3,135855776,135856277,.,5.90541,*,5.90541,-1,-1,250,2.7739985
20,chr19,50383882,50384383,.,131.718,*,131.718,-1,-1,250,5.0939097
21,chr11,86592834,86593335,.,17.5213,*,17.5213,-1,-1,250,3.6553168
22,chr2,238203468,238203969,.,59.3795,*,59.3795,-1,-1,250,4.685474
23,chr13,97976680,97977181,.,22.4159,*,22.4159,-1,-1,250,4.436798
24,chr20,3734023,3734524,.,4.65971,*,4.65971,-1,-1,250,3.4117851
25,chr2,189982742,189983243,.,11.4046,*,11.4046,-1,-1,250,3.3000948
26,chr1,75961836,75962337,.,11.4046,*,11.4046,-1,-1,250,3.3286815
27,chr17,40718569,40719070,.,4.1612,*,4.1612,-1,-1,250,3.0086772
28,chr3,177198813,177199314,.,6.05878,*,6.05878,-1,-1,250,3.0855744
29,chr4,68733125,68733626,.,29.2702,*,29.2702,-1,-1,250,3.5252113
30,chr11,46553756,46554257,.,2.38432,*,2.38432,-1,-1,250,3.0937397
31,chr1,167187346,167187847,.,7.20877,*,7.20877,-1,-1,250,2.7799673
32,chr17,27226546,27227047,.,32.8185,*,32.8185,-1,-1,250,3.7267091
33,chr15,67941601,67942102,.,59.3795,*,59.3795,-1,-1,250,2.7845626
34,chr1,63880944,63881445,.,7.20877,*,7.20877,-1,-1,250,3.1115513
35,chr11,1762337,1762838,.,29.2702,*,29.2702,-1,-1,250,3.3007135
36,chr4,62968944,62969445,.,8.06111,*,8.06111,-1,-1,250,2.8696525
37,chr3,160399630,160400131,.,41.989,*,41.989,-1,-1,250,5.3561206
38,chr18,32093496,32093997,.,27.5249,*,27.5249,-1,-1,250,3.5469925
39,chr15,80999565,81000066,.,45.7633,*,45.7633,-1,-1,250,3.7445495
40,chr4,98283759,98284260,.,4.1612,*,4.1612,-1,-1,250,3.0295544
41,chr5,132103302,132103803,.,12.8839,*,12.8839,-1,-1,250,3.1485875
42,chr18,23494957,23495458,.,11.4046,*,11.4046,-1,-1,250,3.1609426
43,chr3,122922692,122923193,.,17.5213,*,17.5213,-1,-1,250,3.0534291
44,chr1,227730204,227730705,.,14.3978,*,14.3978,-1,-1,250,3.2242167
45,chr1,42944191,42944692,.,22.4159,*,22.4159,-1,-1,250,3.1650453
46,chr19,2474448,2474949,.,19.1267,*,19.1267,-1,-1,250,4.480804
47,chr17,8247083,8247584,.,4.65971,*,4.65971,-1,-1,250,3.4747238
48,chr10,89029756,89030257,.,4.1612,*,4.1612,-1,-1,250,3.5931869
49,chr17,43124277,43124778,.,7.20877,*,7.20877,-1,-1,250,3.417463
50,chr15,64027592,64028093,.,9.96289,*,9.96289,-1,-1,250,2.9720347
51,chr6,11007550,11008051,.,32.8185,*,32.8185,-1,-1,250,3.5141492
52,chr18,12336330,12336831,.,5.90541,*,5.90541,-1,-1,250,3.6359308
53,chr8,46617418,46617919,.,24.0967,*,24.0967,-1,-1,250,4.188208
54,chr15,76252122,76252623,.,25.7999,*,25.7999,-1,-1,250,3.4295578
55,chr7,106660956,106661457,.,18.9152,*,18.9152,-1,-1,250,4.5044513
56,chr3,38138375,38138876,.,27.5249,*,27.5249,-1,-1,250,3.6708279
57,chr16,89052749,89053250,.,19.1267,*,19.1267,-1,-1,250,4.0746493
